f,mag,rad,real,imag
0.0,250.79211691096504,0.0,250.79211691096504,0.0
10.01001001001001,250.0103685616458,0.2548218592681494,241.9370876213043,63.02086973099703
20.02002002002002,220.9881627076227,0.4508880233121578,198.90271353116123,96.29890241758488
30.03003003003003,188.64682131276155,0.5948640208523749,156.2419586262376,105.7169501832419
40.04004004004004,158.9708074498368,0.6914969287514237,122.45398897355132,101.37424823750094
50.05005005005005,133.5576535429023,0.7497735105045011,97.74326511091301,91.01593786444052
60.06006006006006,112.21886529820537,0.7764848675633055,80.05483565069507,78.64030148566931
70.07007007007007,94.31233774052274,0.7749334319785786,67.38311065099715,65.98737340641695
80.08008008008008,79.23170918403528,0.7449038083303501,58.247437751683435,53.71126265121035
90.09009009009009,66.55643459400012,0.6826342403122462,51.64204482301794,41.98640485160431
100.1001001001001,56.10412797998163,0.5808219958748339,46.903718291586024,30.78497014482385
110.11011011011011,47.970313635659494,0.4300089796592294,43.603192524173394,19.997814680694717
120.12012012012012,42.54310746117928,0.2248449196941861,41.47224191698282,9.485206525569273
130.13013013013014,40.369260304451856,-0.0223826092577829,40.35914860643155,-0.9034939360985073
140.14014014014015,41.76889649602236,-0.2745402848560899,40.204648405295764,-11.323734415023052
150.15015015015015,46.52846243785714,-0.4909185481692472,41.033460045688514,-21.935199418057877
160.16016016016016,54.111942029925935,-0.6535926359336509,42.95971164409631,-32.90236231193987
170.17017017017017,64.07668422589316,-0.7653622367267274,46.20771206465396,-44.392215614168855
180.18018018018017,76.26252022973864,-0.8355786060447049,51.15298261866081,-56.56274711332788
190.19019019019018,90.79573970088104,-0.8722318975992412,58.39246883254041,-69.52831028775935
200.2002002002002,108.05092089306657,-0.879868317473147,68.85573367696477,-83.26997925811335
210.21021021021022,128.60641884500123,-0.8594532485631001,83.96092202053863,-97.41752687066594
220.22022022022023,153.1320453620696,-0.8084152133823447,105.75994383032238,-110.7441086368841
230.23023023023023,182.0133475800576,-0.7205808732381305,136.7689398551785,-120.09627716207287
240.24024024024024,214.27323628514392,-0.5868426579154796,178.42385747840106,-118.65052410603313
250.25025025025025,245.32725546290175,-0.3993216618581837,226.02611876949143,-95.38163296442141
260.2602602602603,265.2127898964849,-0.16285404401060893,261.70364332586075,-43.00031389010657
270.27027027027026,263.7639002271781,0.09275852215912031,262.62998239468936,24.43127934468322
280.2802802802803,241.83323306622574,0.3242307417970328,229.23277288833322,77.04315965216706
290.2902902902903,210.19211977704546,0.5049329183913892,183.96159923775832,101.68017123438683
300.3003003003003,178.20229365103788,0.6324491369184174,143.73479631076054,105.33928892865617
310.3103103103103,149.85183307052293,0.7152660762563992,113.12596154231733,98.27557529580791
320.3203203203203,125.8512279057941,0.762241535477534,91.02692824023673,86.90586804435544
330.33033033033036,105.74115714836591,0.7791065384456838,75.23923291510567,74.29838588705609
340.34034034034033,88.8510831466973,0.7679887419914173,63.91141257356962,61.723952556461306
350.35035035035037,74.62436023086907,0.7274823051377286,55.733279038508144,49.62455790717235
360.36036036036035,62.71518795731083,0.6525885561587306,49.82813085411906,38.08348954738279
370.3703703703704,53.030955074238385,0.534956413435427,45.6220454530288,27.035368774397448
380.38038038038036,45.76939987595038,0.3654458645031394,42.746995462274676,16.356415987401224
390.3903903903904,41.401082243429315,0.14303204564584435,40.9783086374436,5.90151100495574
400.4004004004004,40.44686723243565,-0.11104429634897049,40.19775153581003,-4.4821691605247755
410.4104104104104,43.05464972784757,-0.3546593847495916,40.37513623986504,-14.951629904461292
420.42042042042044,48.8516191665494,-0.5532254690166147,41.56462727861417,-25.668316157930168
430.4304304304304,57.294372127258114,-0.6974505327851255,43.9151113380769,-36.79820747836831
440.44044044044045,68.02928809022983,-0.7938188360268749,47.69720246203697,-48.50732847064389
450.45045045045043,80.99863927115244,-0.8517176902287321,53.353131875636805,-60.94442454268631
460.46046046046047,96.41876074075357,-0.8780276380329817,61.57977762983572,-74.19237433754675
470.47047047047045,114.74085672336123,-0.8760487872109817,73.45612300921748,-88.14568732539114
480.4804804804805,136.5950031956945,-0.8455305016108294,90.60816301641894,-102.21719861560403
490.4904904904905,162.61886572789837,-0.7826590907404418,115.30343391753927,-114.6735087866936
500.5005005005005,192.9033710361421,-0.6800775899641097,149.98698684619768,-121.30793186723623
510.5105105105105,225.53334650469645,-0.5283222503752062,194.78278003506514,-113.68798963575222
520.5205205205206,254.08608469696557,-0.3222138859829751,241.00997068249362,-80.46075110423182
530.5305305305305,267.39321608678586,-0.07447589216623926,266.6519893634926,-19.895943750583474
540.5405405405405,258.0465937639667,0.17740951435285607,253.99633693189733,45.54015127734799
550.5505505505505,231.4065175819534,0.392949425762,213.7695692557375,88.60895913858461
560.5605605605606,198.87240935192074,0.5546782648430932,169.05545558677792,104.74009804169982
570.5705705705706,167.91296351313778,0.6656333024157335,132.06788506194306,103.69588733903447
580.5805805805805,141.07567352436743,0.7351923168178192,104.6360773913396,94.62365966557992
590.5905905905906,118.49354204482826,0.7712954851198429,84.96084539212406,82.59766495843012
600.6006006006006,99.56973279762296,0.7784258535387596,70.89561342283925,69.91383043997352
610.6106106106106,83.65348198409683,0.7574857868983348,60.77976017310384,57.47804625562349
620.6206206206206,70.25488011181616,0.7058387753117504,53.46872206733698,45.57240327228238
630.6306306306307,59.11127128218487,0.6172463876284793,48.20378255001109,34.21312234314927
640.6406406406406,50.22681833339225,0.4825678889616078,44.49122718596574,23.308024012823807
650.6506506506506,43.90227740024843,0.29402882393136875,42.018169486619364,12.723340517414961
660.6606606606607,40.66553796338351,0.056846130430612034,40.599850667133374,2.310433651472189
