     F(Hz)         |Z|(ohms)     PHASE(Z)(Deg) 
    0.10000000000000E-05     201.40963198233       -0.66903991459011E-06
     10.000000000000         197.63978834609        -9.1301484781907    
     20.000000000000         185.84299461294        -17.563114358831    
     30.000000000000         169.26099381260        -24.527354468852    
     40.000000000000         151.10498414947        -29.769653581866    
     50.000000000000         133.46719427585        -33.317682039399    
     60.000000000000         117.36099126523        -35.297967625987    
     70.000000000000         103.13741049903        -35.828066851754    
     80.000000000000         90.838963283058        -34.973665092147    
     90.000000000000         80.410013554667        -32.744680813966    
     100.00000000000         71.803214949249        -29.117992786540    
     110.00000000000         65.024751046447        -24.088457831885    
     120.00000000000         60.139379033908        -17.751357064161    
     130.00000000000         57.240688914212        -10.395742497640    
     140.00000000000         56.394409491472        -2.5424815167767    
     150.00000000000         57.583046038458         5.1462692220675    
     160.00000000000         60.691009261747         12.059676273330    
     170.00000000000         65.540492603578         17.794261507627    
     180.00000000000         71.946479814357         22.177786662883    
     190.00000000000         79.753704114310         25.195986681860    
     200.00000000000         88.841690623882         26.903268373480    
     210.00000000000         99.100561719209         27.361050427653    
     220.00000000000         110.38082539780         26.608552984331    
     230.00000000000         122.41568500520         24.658396328942    
     240.00000000000         134.71685307853         21.511936887268    
     250.00000000000         146.46681050207         17.193867613758    
     260.00000000000         156.48039380051         11.804183550560    
     270.00000000000         163.35962566400         5.5725867544942    
     280.00000000000         165.91531473306        -1.1200045702777    
     290.00000000000         163.69052712179        -7.7894852655070    
     300.00000000000         157.19638471524        -13.958238634156    
     310.00000000000         147.64804746360        -19.261764082178    
     320.00000000000         136.43898519403        -23.490925634867    
     330.00000000000         124.73586103826        -26.567384012782    
     340.00000000000         113.33821525627        -28.490584401820    
     350.00000000000         102.72104988813        -29.290233201033    
     360.00000000000         93.138994611407        -28.997394771775    
     370.00000000000         84.723130788179        -27.634370236468    
     380.00000000000         77.549473865658        -25.220519396465    
     390.00000000000         71.679471879284        -21.792053043937    
     400.00000000000         67.177516815835        -17.433070434625    
     410.00000000000         64.109725095409        -12.309435718443    
     420.00000000000         62.528752317026        -6.6877471350437    
     430.00000000000         62.453146258768       -0.91862326927038    
     440.00000000000         63.853200209420         4.6202492951797    
     450.00000000000         66.652063703078         9.5963049883568    
     460.00000000000         70.740565208995         13.771619044519    
     470.00000000000         75.995381055434         17.011203301700    
     480.00000000000         82.289735268894         19.260213604627    
     490.00000000000         89.491034955193         20.511525425776    
     500.00000000000         97.444609475457         20.779205011415    
     510.00000000000         105.94505103374         20.083833174912    
     520.00000000000         114.69875122350         18.450076954585    
     530.00000000000         123.28639644464         15.915127390721    
     540.00000000000         131.14410160590         12.545734712260    
     550.00000000000         137.59258732703         8.4591758465713    
     560.00000000000         141.94120750517         3.8392284315770    
     570.00000000000         143.65927268490        -1.0646653631398    
     580.00000000000         142.54712987667        -5.9624475359393    
     590.00000000000         138.80821424151        -10.566756211875    
