     F(Hz)         |Z|(ohms)     PHASE(Z)(Deg) 
    0.10000000000000E-05     1.4146319823414        0.90139632590736E-04
     10.000000000000         13.409102994516         79.935873688808    
     20.000000000000         26.200514083308         82.572885688043    
     30.000000000000         39.454196022570         83.290061074482    
     40.000000000000         53.693010243872         83.472854700490    
     50.000000000000         69.539451697152         83.388008536531    
     60.000000000000         87.848049368158         83.101050730223    
     70.000000000000         109.91125007198         82.603073574267    
     80.000000000000         137.85684116223         81.828185816160    
     90.000000000000         175.52240067908         80.627349460550    
     100.00000000000         230.65570129647         78.676259200683    
     110.00000000000         321.49386967428         75.178875220532    
     120.00000000000         501.56534466150         67.656277578840    
     130.00000000000         965.58011150843         44.633738409104    
     140.00000000000         1216.6410330468        -26.871887943385    
     150.00000000000         602.85505201398        -63.172357292084    
     160.00000000000         364.77035041397        -73.309313342283    
     170.00000000000         254.21945358262        -77.426325135278    
     180.00000000000         190.57720035053        -79.381588490553    
     190.00000000000         148.68469590961        -80.259945343436    
     200.00000000000         118.51878483115        -80.441249350225    
     210.00000000000         95.345496117000        -80.042138794731    
     220.00000000000         76.648791555753        -79.027990035937    
     230.00000000000         60.977599598178        -77.211948018991    
     240.00000000000         47.459213283851        -74.157995230643    
     250.00000000000         35.600573982557        -68.886089046263    
     260.00000000000         25.300307067290        -59.004525667622    
     270.00000000000         17.288634984499        -38.454714026079    
     280.00000000000         14.354524328432       -0.50772300891372    
     290.00000000000         18.685492847611         33.931942960138    
     300.00000000000         27.169745798098         51.139755841599    
     310.00000000000         37.514749689966         59.421118680844    
     320.00000000000         49.211049776926         63.738454516869    
     330.00000000000         62.382178726653         66.009550465959    
     340.00000000000         77.454378488278         67.012904711166    
     350.00000000000         95.135605405821         67.060953053346    
     360.00000000000         116.52382876180         66.222360113730    
     370.00000000000         143.33978005163         64.377752933990    
     380.00000000000         178.33803169151         61.179907175113    
     390.00000000000         225.89910391328         55.903096485097    
     400.00000000000         292.03813819970         47.112714368223    
     410.00000000000         378.16699683073         32.247088925149    
     420.00000000000         450.38648412873         8.9703066922542    
     430.00000000000         432.96452116884        -17.847194584723    
     440.00000000000         348.66672630603        -38.169661332736    
     450.00000000000         268.76884063936        -50.451791750522    
     460.00000000000         209.94752232129        -57.575202419393    
     470.00000000000         167.58136647100        -61.683996875237    
     480.00000000000         136.10936622747        -63.900069922219    
     490.00000000000         111.80543687184        -64.764973192597    
     500.00000000000         92.360304545673        -64.498542119484    
     510.00000000000         76.344164166882        -63.105922597703    
     520.00000000000         62.873217450527        -60.396433050747    
     530.00000000000         51.435847640198        -55.938214753264    
     540.00000000000         41.831475431693        -48.960866265011    
     550.00000000000         34.204123750917        -38.300156324121    
     560.00000000000         29.125440561864        -22.870952890882    
     570.00000000000         27.454268248754        -3.5875194108458    
     580.00000000000         29.582473851170         15.247490115875    
     590.00000000000         34.915288541005         29.766287606026    
     600.00000000000         42.551746019153         39.560180997149    
     610.00000000000         51.932660332575         45.806152912600    
     620.00000000000         62.887911620330         49.600746306750    
     630.00000000000         75.522688904240         51.637626024088    
     640.00000000000         90.147883684142         52.287818670654    
     650.00000000000         107.25892016593         51.694824736878    
     660.00000000000         127.52788760327         49.823255821546    
     670.00000000000         151.74251426359         46.467082516852    
     680.00000000000         180.52279613505         41.235156059939    
     690.00000000000         213.40316259355         33.560926121600    
     700.00000000000         246.67184201204         22.877833436982    
     710.00000000000         270.87536257227         9.2129826223770    
     720.00000000000         274.27425044308        -5.9773157242955    
     730.00000000000         255.04545940622        -20.143666567847    
     740.00000000000         223.63961008440        -31.465227973211    
     750.00000000000         190.78713419348        -39.639886685336    
     760.00000000000         161.46734817049        -45.163903155082    
     770.00000000000         136.73051930628        -48.626038646091    
     780.00000000000         116.14656267525        -50.458736046756    
     790.00000000000         98.970998901893        -50.911693002555    
     800.00000000000         84.534838196203        -50.076622220167    
     810.00000000000         72.339935170514        -47.908649188932    
     820.00000000000         62.068534030589        -44.238577189595    
     830.00000000000         53.579217383530        -38.793411580974    
     840.00000000000         46.906008144768        -31.271519828956    
     850.00000000000         42.243917573029        -21.551595195458    
     860.00000000000         39.872671931103        -10.054119439438    
     870.00000000000         39.986775439235         2.0426851509951    
     880.00000000000         42.532469697794         13.227432547480    
     890.00000000000         47.228124400332         22.453841865110    
     900.00000000000         53.739128648743         29.430384396075    
     910.00000000000         61.821681826116         34.336215901841    
     920.00000000000         71.366150811333         37.480219481397    
     930.00000000000         82.381431372917         39.126076450876    
     940.00000000000         94.958900613213         39.438635302699    
     950.00000000000         109.22095974011         38.479252473041    
     960.00000000000         125.23311113211         36.215332487530    
     970.00000000000         142.83726144223         32.537866862486    
     980.00000000000         161.35543661479         27.299324363356    
     990.00000000000         179.17741291232         20.398319475341    
    1000.00000000000         193.50974258592         11.931821212308    
     1010.0000000000         200.96835494366         2.3656943305999    
     1020.0000000000         199.37586237247        -7.4504480220186    
     1030.0000000000         189.37592957855        -16.559200610701    
     1040.0000000000         173.91298990050        -24.269971649323    
     1050.0000000000         156.26054586600        -30.303183111145    
     1060.0000000000         138.70979434497        -34.678665792393    
     1070.0000000000         122.43655212923        -37.541215717641    
     1080.0000000000         107.87561184655        -39.042915431716    
     1090.0000000000         95.088620335094        -39.289869255022    
     1100.0000000000         83.994599790444        -38.326948735727    
     1110.0000000000         74.490694742391        -36.141755895522    
     1120.0000000000         66.510031349431        -32.682936890441    
     1130.0000000000         60.046304359470        -27.898515462857    
     1140.0000000000         55.156395981362        -21.803415754486    
     1150.0000000000         51.940175634003        -14.571709366147    
     1160.0000000000         50.495519764236        -6.6087566398105    
     1170.0000000000         50.862002221124         1.4779333233744    
     1180.0000000000         52.986756337323         9.0397124924182    
     1190.0000000000         56.737945446523         15.579050698477    
     1200.0000000000         61.952594051105         20.836230028790    
     1210.0000000000         68.482682835862         24.749783335014    
     1220.0000000000         76.216905043827         27.366092808316    
     1230.0000000000         85.076520234909         28.762919350164    
     1240.0000000000         94.990576196047         29.005409237941    
     1250.0000000000         105.85197232947         28.128695947656    
     1260.0000000000         117.45104367363         26.138555803712    
     1270.0000000000         129.38499636509         23.026584022638    
     1280.0000000000         140.95836316954         18.800829309544    
     1290.0000000000         151.13013107880         13.532116768615    
     1300.0000000000         158.61249925822         7.4060020517057    
     1310.0000000000         162.20802077227        0.75180045804973    
     1320.0000000000         161.29292454209        -5.9871748080763    
     1330.0000000000         156.12342730400        -12.346737705039    
     1340.0000000000         147.70256981574        -17.948494091024    
     1350.0000000000         137.32832244101        -22.557152793128    
     1360.0000000000         126.17104840451        -26.071720688433    
     1370.0000000000         115.07870007756        -28.479811848735    
     1380.0000000000         104.57745842145        -29.809751190977    
     1390.0000000000         94.957232612325        -30.097479031362    
     1400.0000000000         86.364842123757        -29.370572077689    
     1410.0000000000         78.875362672017        -27.646663385517    
     1420.0000000000         72.538067513314        -24.943977897634    
     1430.0000000000         67.401264739395        -21.302747475859    
     1440.0000000000         63.520303170125        -16.814619947987    
     1450.0000000000         60.951812075523        -11.651223345430    
     1460.0000000000         59.738222292329        -6.0754632679041    
     1470.0000000000         59.890003560677       -0.41939679239951    
     1480.0000000000         61.375211490819         4.9706483102744    
     1490.0000000000         64.122261374200         9.7969640373061    
     1500.0000000000         68.033356819624         13.850118668526    
     1510.0000000000         72.999764246768         17.012882239592    
     1520.0000000000         78.910526389994         19.238821711645    
     1530.0000000000         85.650500617124         20.523653936340    
     1540.0000000000         93.087230848935         20.881932852383    
     1550.0000000000         101.04783791331         20.333801492813    
     1560.0000000000         109.28850045113         18.902043176303    
     1570.0000000000         117.46259743323         16.618260517468    
     1580.0000000000         125.10062029624         13.536479615232    
     1590.0000000000         131.62355982942         9.7509362880444    
     1600.0000000000         136.41288544684         5.4116747687444    
     1610.0000000000         138.94061116061        0.72868031109274    
     1620.0000000000         138.91981965055        -4.0431850729870    
     1630.0000000000         136.39996258312        -8.6373811231585    
     1640.0000000000         131.74879112556        -12.814529175595    
     1650.0000000000         125.53292472955        -16.390498074534    
     1660.0000000000         118.36744556127        -19.244932012304    
     1670.0000000000         110.80230290851        -21.312981788504    
     1680.0000000000         103.27021143874        -22.569265087623    
     1690.0000000000         96.083860391443        -23.012399007366    
     1700.0000000000         89.458542719370        -22.654765453728    
     1710.0000000000         83.541237003509        -21.518987744233    
     1720.0000000000         78.435889719320        -19.640810441371    
     1730.0000000000         74.220995245469        -17.076999407923    
     1740.0000000000         70.958900127454        -13.915632385995    
     1750.0000000000         68.697873658854        -10.284514513384    
     1760.0000000000         67.469094183713        -6.3523795560884    
     1770.0000000000         67.281643841741        -2.3188587221011    
     1780.0000000000         68.118852029317         1.6061668157322    
     1790.0000000000         69.938201700051         5.2274316087326    
     1800.0000000000         72.674743516856         8.3844463523480    
     1810.0000000000         76.245850251808         10.960970328310    
     1820.0000000000         80.554403903629         12.883640765985    
     1830.0000000000         85.488221763266         14.113938149250    
     1840.0000000000         90.914930207032         14.638603273293    
     1850.0000000000         96.672954555081         14.462223431388    
     1860.0000000000         102.56076960699         13.603770612216    
     1870.0000000000         108.32830512907         12.097343950081    
     1880.0000000000         113.67634054936         9.9962619446487    
     1890.0000000000         118.27078920259         7.3786678117636    
     1900.0000000000         121.77679462560         4.3518900691496    
     1910.0000000000         123.91054575213         1.0523931605505    
     1920.0000000000         124.49589554433        -2.3609602637953    
     1930.0000000000         123.50482802949        -5.7201230503389    
     1940.0000000000         121.06381901745        -8.8642578445098    
     1950.0000000000         117.42314241149        -11.654345334082    
