     F(Hz)         |Z|(ohms)     PHASE(Z)(Deg) 
    0.10000000000000E-05     204.77091041663       -0.32736054820723E-05
     10.000000000000         199.69751649633        -9.9431898640986    
     20.000000000000         186.35984084003        -18.722664250562    
     30.000000000000         168.77406994218        -25.634538600847    
     40.000000000000         150.46545846474        -30.477352227779    
     50.000000000000         133.46719457564        -33.317682341035    
     60.000000000000         118.65362899723        -34.271019529517    
     70.000000000000         106.33997991336        -33.393675733369    
     80.000000000000         96.724100454498        -30.668732032382    
     90.000000000000         90.169140324496        -26.079023369204    
     100.00000000000         87.399428309090        -19.794688983748    
     110.00000000000         89.632321982794        -12.464748746035    
     120.00000000000         98.641123143347        -5.4215939510094    
     130.00000000000         116.81843108022       -0.53022440776363    
     140.00000000000         147.16164914735        0.13340829351667    
     150.00000000000         191.35762349683        -5.6885754592465    
     160.00000000000         239.41731922954        -19.816777568767    
     170.00000000000         258.40178419760        -39.721959267105    
     180.00000000000         236.06551376344        -57.465145015595    
     190.00000000000         200.88304050148        -69.196952096774    
     200.00000000000         170.52632759795        -76.263282293824    
     210.00000000000         147.37068240610        -80.559692707797    
     220.00000000000         129.88366775438        -83.272073791742    
     230.00000000000         116.41788974409        -85.054382410109    
     240.00000000000         105.78346473510        -86.268426363309    
     250.00000000000         97.179404058870        -87.121423472484    
     260.00000000000         90.067634093895        -87.736864133894    
     270.00000000000         84.080216540916        -88.191159761533    
     280.00000000000         78.959621333725        -88.533209162418    
     290.00000000000         74.521242115616        -88.795246604264    
     300.00000000000         70.629715699285        -88.999082464102    
     310.00000000000         67.183695994961        -89.159817206220    
     320.00000000000         64.105855364621        -89.288121013924    
     330.00000000000         61.336174365735        -89.391671812105    
     340.00000000000         58.827343028211        -89.476085162089    
     350.00000000000         56.541546222997        -89.545529034351    
     360.00000000000         54.448174820727        -89.603138516850    
     370.00000000000         52.522167910780        -89.651300535845    
     380.00000000000         50.742793169644        -89.691852747460    
     390.00000000000         49.092736369710        -89.726224457597    
     400.00000000000         47.557412534235        -89.755537895207    
     410.00000000000         46.124438282865        -89.780681913944    
     420.00000000000         44.783222990264        -89.802366259268    
     430.00000000000         43.524648621201        -89.821161960684    
     440.00000000000         42.340816521751        -89.837531697163    
     450.00000000000         41.224845324854        -89.851852858641    
     460.00000000000         40.170708250645        -89.864435169871    
     470.00000000000         39.173101093699        -89.875534325466    
     480.00000000000         38.227334291925        -89.885362580850    
     490.00000000000         37.329244071409        -89.894097053376    
     500.00000000000         36.475118813835        -89.901886270894    
     510.00000000000         35.661637661912        -89.908855371150    
     520.00000000000         34.885819031279        -89.915110253820    
     530.00000000000         34.144977196274        -89.920740923461    
     540.00000000000         33.436685490100        -89.925824176572    
     550.00000000000         32.758744965654        -89.930425796075    
     560.00000000000         32.109157580751        -89.934602340996    
     570.00000000000         31.486103153223        -89.938402605049    
     580.00000000000         30.887919477927        -89.941868828200    
     590.00000000000         30.313085101656        -89.945037694015    
     600.00000000000         29.760204346329        -89.947941159163    
     610.00000000000         29.227994240711        -89.950607144895    
     620.00000000000         28.715273079387        -89.953060117490    
     630.00000000000         28.220950373514        -89.955321572910    
     640.00000000000         27.744017998019        -89.957410448451    
     650.00000000000         27.283542369341        -89.959343469517    
     660.00000000000         26.838657514759        -89.961135444243    
     670.00000000000         26.408558915247        -89.962799514141    
     680.00000000000         25.992498021726        -89.964347369094    
     690.00000000000         25.589777358726        -89.965789429263    
     700.00000000000         25.199746143015        -89.967135004834    
     710.00000000000         24.821796353296        -89.968392429396    
     720.00000000000         24.455359197838        -89.969569178510    
     730.00000000000         24.099901932581        -89.970671970740    
     740.00000000000         23.754924989445        -89.971706855410    
     750.00000000000         23.419959379737        -89.972679290078    
     760.00000000000         23.094564341610        -89.973594205795    
     770.00000000000         22.778325205343        -89.974456066376    
     780.00000000000         22.470851452579        -89.975268919180    
     790.00000000000         22.171774949128        -89.976036439720    
     800.00000000000         21.880748333314        -89.976761971714    
     810.00000000000         21.597443543668        -89.977448560573    
     820.00000000000         21.321550472292        -89.978098985319    
     830.00000000000         21.052775731001        -89.978715784550    
     840.00000000000         20.790841519548        -89.979301281044    
     850.00000000000         20.535484585890        -89.979857602876    
     860.00000000000         20.286455269856        -89.980386702329    
     870.00000000000         20.043516622379        -89.980890372742    
     880.00000000000         19.806443593352        -89.981370263526    
     890.00000000000         19.575022281853        -89.981827893586    
     900.00000000000         19.349049243170        -89.982264663239    
     910.00000000000         19.128330847614        -89.982681865320    
     920.00000000000         18.912682686544        -89.983080694226    
     930.00000000000         18.701929021667        -89.983462255262    
     940.00000000000         18.495902273797        -89.983827571883    
     950.00000000000         18.294442547894        -89.984177593046    
     960.00000000000         18.097397191304        -89.984513199413    
     970.00000000000         17.904620382540        -89.984835209344    
     980.00000000000         17.715972748085        -89.985144383694    
     990.00000000000         17.531321005055        -89.985441430722    
     1000.0000000000         17.350537627657        -89.985727010502    
     1010.0000000000         17.173500535559        -89.986001738416    
     1020.0000000000         17.000092802573        -89.986266189088    
     1030.0000000000         16.830202384013        -89.986520899231    
     1040.0000000000         16.663721861413        -89.986766370747    
     1050.0000000000         16.500548203270        -89.987003073415    
     1060.0000000000         16.340582540638        -89.987231447177    
     1070.0000000000         16.183729956532        -89.987451904518    
     1080.0000000000         16.029899288105        -89.987664832362    
     1090.0000000000         15.879002940734        -89.987870594006    
     1100.0000000000         15.730956713154        -89.988069530778    
     1110.0000000000         15.585679632889        -89.988261963728    
     1120.0000000000         15.443093801255        -89.988448194870    
     1130.0000000000         15.303124247310        -89.988628508611    
     1140.0000000000         15.165698790131        -89.988803173014    
     1150.0000000000         15.030747908866        -89.988972440857    
     1160.0000000000         14.898204620050        -89.989136550620    
     1170.0000000000         14.768004361726        -89.989295727492    
     1180.0000000000         14.640084883907        -89.989450184319    
     1190.0000000000         14.514386144987        -89.989600122271    
     1200.0000000000         14.390850213728        -89.989745731673    
     1210.0000000000         14.269421176465        -89.989887192757    
     1220.0000000000         14.150045049209        -89.990024676166    
     1230.0000000000         14.032669694342        -89.990158343706    
     1240.0000000000         13.917244741634        -89.990288348770    
     1250.0000000000         13.803721513310        -89.990414836911    
     1260.0000000000         13.692052952933        -89.990537946368    
     1270.0000000000         13.582193557869        -89.990657808410    
     1280.0000000000         13.474099315126        -89.990774547802    
     1290.0000000000         13.367727640383        -89.990888283222    
     1300.0000000000         13.263037319998        -89.990999127583    
     1310.0000000000         13.159988455848        -89.991107188343    
     1320.0000000000         13.058542412834        -89.991212567857    
     1330.0000000000         12.958661768895        -89.991315363675    
     1340.0000000000         12.860310267396        -89.991415668767    
     1350.0000000000         12.763452771761        -89.991513571850    
     1360.0000000000         12.668055222216        -89.991609157542    
     1370.0000000000         12.574084594547        -89.991702506658    
     1380.0000000000         12.481508860746        -89.991793696359    
     1390.0000000000         12.390296951449        -89.991882800414    
     1400.0000000000         12.300418720080        -89.991969889313    
     1410.0000000000         12.211844908594        -89.992055030486    
     1420.0000000000         12.124547114755        -89.992138288438    
     1430.0000000000         12.038497760853        -89.992219724942    
     1440.0000000000         11.953670063792        -89.992299399125    
     1450.0000000000         11.870038006482        -89.992377367631    
     1460.0000000000         11.787576310468        -89.992453684770    
     1470.0000000000         11.706260409724        -89.992528402581    
     1480.0000000000         11.626066425571        -89.992601570997    
     1490.0000000000         11.546971142648        -89.992673237928    
     1500.0000000000         11.468951985890        -89.992743449347    
     1510.0000000000         11.391986998471        -89.992812249398    
     1520.0000000000         11.316054820648        -89.992879680500    
     1530.0000000000         11.241134669480        -89.992945783392    
     1540.0000000000         11.167206319372        -89.993010597251    
     1550.0000000000         11.094250083401        -89.993074159742    
     1560.0000000000         11.022246795402        -89.993136507091    
     1570.0000000000         10.951177792756        -89.993197674151    
     1580.0000000000         10.881024899867        -89.993257694489    
     1590.0000000000         10.811770412291        -89.993316600400    
     1600.0000000000         10.743397081480        -89.993374423011    
     1610.0000000000         10.675888100121        -89.993431192300    
     1620.0000000000         10.609227088037        -89.993486937156    
     1630.0000000000         10.543398078632        -89.993541685440    
     1640.0000000000         10.478385505851        -89.993595464017    
     1650.0000000000         10.414174191630        -89.993648298795    
     1660.0000000000         10.350749333820        -89.993700214784    
     1670.0000000000         10.288096494559        -89.993751236117    
     1680.0000000000         10.226201589081        -89.993801386091    
     1690.0000000000         10.165050874927        -89.993850687214    
     1700.0000000000         10.104630941562        -89.993899161229    
     1710.0000000000         10.044928700360        -89.993946829137    
     1720.0000000000         9.9859313749601        -89.993993711249    
     1730.0000000000         9.9276264919602        -89.994039827189    
     1740.0000000000         9.8700018719499        -89.994085195946    
     1750.0000000000         9.8130456208579        -89.994129835885    
     1760.0000000000         9.7567461216051        -89.994173764769    
     1770.0000000000         9.7010920260515        -89.994216999802    
     1780.0000000000         9.6460722472225        -89.994259557625    
     1790.0000000000         9.5916759518048        -89.994301454363    
     1800.0000000000         9.5378925529013        -89.994342705627    
     1810.0000000000         9.4847117030327        -89.994383326542    
     1820.0000000000         9.4321232873787        -89.994423331764    
     1830.0000000000         9.3801174172468        -89.994462735496    
     1840.0000000000         9.3286844237617        -89.994501551510    
     1850.0000000000         9.2778148517647        -89.994539793164    
     1860.0000000000         9.2274994539168        -89.994577473403    
     1870.0000000000         9.1777291849964        -89.994614604795    
     1880.0000000000         9.1284951963848        -89.994651199529    
     1890.0000000000         9.0797888307315        -89.994687269437    
     1900.0000000000         9.0316016167935        -89.994722826008    
     1910.0000000000         8.9839252644408        -89.994757880388    
     1920.0000000000         8.9367516598235        -89.994792443410    
     1930.0000000000         8.8900728606921        -89.994826525593    
     1940.0000000000         8.8438810918679        -89.994860137159    
     1950.0000000000         8.7981687408557        -89.994893288035    
     1960.0000000000         8.7529283535955        -89.994925987877    
     1970.0000000000         8.7081526303459        -89.994958246064    
     1980.0000000000         8.6638344216972        -89.994990071722    
     1990.0000000000         8.6199667247063        -89.995021473724    
     2000.0000000000         8.5765426791518        -89.995052460697    
     2010.0000000000         8.5335555639035        -89.995083041039    
     2020.0000000000         8.4909987934022        -89.995113222915    
     2030.0000000000         8.4488659142472        -89.995143014280    
     2040.0000000000         8.4071506018851        -89.995172422869    
     2050.0000000000         8.3658466573999        -89.995201456219    
     2060.0000000000         8.3249480043973        -89.995230121662    
     2070.0000000000         8.2844486859825        -89.995258426345    
     2080.0000000000         8.2443428618273        -89.995286377226    
     2090.0000000000         8.2046248053226        -89.995313981087    
     2100.0000000000         8.1652889008155        -89.995341244532    
     2110.0000000000         8.1263296409256        -89.995368173999    
     2120.0000000000         8.0877416239400        -89.995394775764    
     2130.0000000000         8.0495195512828        -89.995421055944    
     2140.0000000000         8.0116582250575        -89.995447020504    
     2150.0000000000         7.9741525456594        -89.995472675259    
     2160.0000000000         7.9369975094560        -89.995498025886    
     2170.0000000000         7.9001882065328        -89.995523077915    
     2180.0000000000         7.8637198185027        -89.995547836747    
     2190.0000000000         7.8275876163767        -89.995572307651    
     2200.0000000000         7.7917869584937        -89.995596495768    
     2210.0000000000         7.7563132885080        -89.995620406116    
     2220.0000000000         7.7211621334326        -89.995644043595    
     2230.0000000000         7.6863291017354        -89.995667412987    
     2240.0000000000         7.6518098814886        -89.995690518965    
     2250.0000000000         7.6176002385675        -89.995713366089    
     2260.0000000000         7.5836960148991        -89.995735958816    
     2270.0000000000         7.5500931267566        -89.995758301497    
     2280.0000000000         7.5167875631010        -89.995780398387    
     2290.0000000000         7.4837753839666        -89.995802253639    
     2300.0000000000         7.4510527188889        -89.995823871317    
     2310.0000000000         7.4186157653750        -89.995845255389    
     2320.0000000000         7.3864607874141        -89.995866409738    
     2330.0000000000         7.3545841140263        -89.995887338154    
     2340.0000000000         7.3229821378506        -89.995908044350    
     2350.0000000000         7.2916513137689        -89.995928531953    
     2360.0000000000         7.2605881575657        -89.995948804512    
     2370.0000000000         7.2297892446225        -89.995968865496    
     2380.0000000000         7.1992512086456        -89.995988718304    
     2390.0000000000         7.1689707404265        -89.996008366255    
     2400.0000000000         7.1389445866343        -89.996027812601    
