   LOG10(FN) FN  Magnitudes: TI11, TI12 ... TI21, TI22 ...
  0.64412450          4.4068118          1.0000000    
  0.65042553          4.4712148          1.0000000    
  0.65672656          4.5365590          1.0000000    
  0.66302759          4.6028582          1.0000000    
  0.66932862          4.6701263          1.0000000    
  0.67562965          4.7383775          1.0000000    
  0.68193068          4.8076261          1.0000000    
  0.68823171          4.8778868          1.0000000    
  0.69453274          4.9491742          1.0000000    
  0.70083377          5.0215035          1.0000000    
  0.70713480          5.0948899          1.0000000    
  0.71343583          5.1693488          1.0000000    
  0.71973686          5.2448958          1.0000000    
  0.72603789          5.3215469          1.0000000    
  0.73233892          5.3993182          1.0000000    
  0.73863995          5.4782261          1.0000000    
  0.74494098          5.5582872          1.0000000    
  0.75124201          5.6395183          1.0000000    
  0.75754304          5.7219366          1.0000000    
  0.76384407          5.8055594          1.0000000    
  0.77014510          5.8904043          1.0000000    
  0.77644613          5.9764891          1.0000000    
  0.78274716          6.0638320          1.0000000    
  0.78904819          6.1524514          1.0000000    
  0.79534922          6.2423659          1.0000000    
  0.80165025          6.3335945          1.0000000    
  0.80795128          6.4261563          1.0000000    
  0.81425231          6.5200708          1.0000000    
  0.82055334          6.6153579          1.0000000    
  0.82685437          6.7120375          1.0000000    
  0.83315540          6.8101300          1.0000000    
  0.83945643          6.9096561          1.0000000    
  0.84575746          7.0106367          1.0000000    
  0.85205849          7.1130931          1.0000000    
  0.85835952          7.2170468          1.0000000    
  0.86466055          7.3225198          1.0000000    
  0.87096158          7.4295342          1.0000000    
  0.87726261          7.5381125          1.0000000    
  0.88356364          7.6482776          1.0000000    
  0.88986467          7.7600528          1.0000000    
  0.89616570          7.8734614          1.0000000    
  0.90246673          7.9885275          1.0000000    
  0.90876776          8.1052752          1.0000000    
  0.91506879          8.2237291          1.0000000    
  0.92136982          8.3439141          1.0000000    
  0.92767085          8.4658555          1.0000000    
  0.93397188          8.5895791          1.0000000    
  0.94027291          8.7151108          1.0000000    
  0.94657394          8.8424771          1.0000000    
  0.95287497          8.9717048          1.0000000    
  0.95917600          9.1028210          1.0000000    
  0.96547703          9.2358535          1.0000000    
  0.97177806          9.3708301          1.0000000    
  0.97807909          9.5077793          1.0000000    
  0.98438012          9.6467300          1.0000000    
  0.99068115          9.7877114          1.0000000    
  0.99698218          9.9307531          1.0000000    
   1.0032832          10.075885          1.0000000    
   1.0095842          10.223138          1.0000000    
   1.0158853          10.372544          1.0000000    
   1.0221863          10.524132          1.0000000    
   1.0284873          10.677936          1.0000000    
   1.0347884          10.833988          1.0000000    
   1.0410894          10.992321          1.0000000    
   1.0473904          11.152967          1.0000000    
   1.0536915          11.315961          1.0000000    
   1.0599925          11.481337          1.0000000    
   1.0662935          11.649131          1.0000000    
   1.0725945          11.819376          1.0000000    
   1.0788956          11.992109          1.0000000    
   1.0851966          12.167367          1.0000000    
   1.0914976          12.345186          1.0000000    
   1.0977987          12.525604          1.0000000    
   1.1040997          12.708658          1.0000000    
   1.1104007          12.894388          1.0000000    
   1.1167018          13.082832          1.0000000    
   1.1230028          13.274030          1.0000000    
   1.1293038          13.468022          1.0000000    
   1.1356048          13.664849          1.0000000    
   1.1419059          13.864553          1.0000000    
   1.1482069          14.067175          1.0000000    
   1.1545079          14.272759          1.0000000    
   1.1608090          14.481347          1.0000000    
   1.1671100          14.692984          1.0000000    
   1.1734110          14.907713          1.0000000    
   1.1797121          15.125581          1.0000000    
   1.1860131          15.346632          1.0000000    
   1.1923141          15.570914          1.0000000    
   1.1986151          15.798474          1.0000000    
   1.2049162          16.029360          1.0000000    
   1.2112172          16.263619          1.0000000    
   1.2175182          16.501303          1.0000000    
   1.2238193          16.742460          1.0000000    
   1.2301203          16.987141          1.0000000    
   1.2364213          17.235398          1.0000000    
   1.2427224          17.487284          1.0000000    
   1.2490234          17.742850          1.0000000    
   1.2553244          18.002152          1.0000000    
   1.2616254          18.265243          1.0000000    
   1.2679265          18.532178          1.0000000    
   1.2742275          18.803015          1.0000000    
   1.2805285          19.077811          1.0000000    
   1.2868296          19.356622          1.0000000    
   1.2931306          19.639508          1.0000000    
   1.2994316          19.926528          1.0000000    
   1.3057327          20.217742          1.0000000    
   1.3120337          20.513213          1.0000000    
   1.3183347          20.813001          1.0000000    
   1.3246357          21.117171          1.0000000    
   1.3309368          21.425787          1.0000000    
   1.3372378          21.738912          1.0000000    
   1.3435388          22.056614          1.0000000    
   1.3498399          22.378958          1.0000000    
   1.3561409          22.706014          1.0000000    
   1.3624419          23.037849          1.0000000    
   1.3687430          23.374534          1.0000000    
   1.3750440          23.716139          1.0000000    
   1.3813450          24.062736          1.0000000    
   1.3876460          24.414399          1.0000000    
   1.3939471          24.771202          1.0000000    
   1.4002481          25.133218          1.0000000    
   1.4065491          25.500526          1.0000000    
   1.4128502          25.873201          1.0000000    
   1.4191512          26.251323          1.0000000    
   1.4254522          26.634971          1.0000000    
   1.4317533          27.024225          1.0000000    
   1.4380543          27.419169          1.0000000    
   1.4443553          27.819884          1.0000000    
   1.4506563          28.226455          1.0000000    
   1.4569574          28.638969          1.0000000    
   1.4632584          29.057510          1.0000000    
   1.4695594          29.482169          1.0000000    
   1.4758605          29.913034          1.0000000    
   1.4821615          30.350196          1.0000000    
   1.4884625          30.793746          1.0000000    
   1.4947636          31.243779          1.0000000    
   1.5010646          31.700388          1.0000000    
   1.5073656          32.163671          1.0000000    
   1.5136666          32.633725          1.0000000    
   1.5199677          33.110647          1.0000000    
   1.5262687          33.594540          1.0000000    
   1.5325697          34.085505          1.0000000    
   1.5388708          34.583645          1.0000000    
   1.5451718          35.089065          1.0000000    
   1.5514728          35.601871          1.0000000    
   1.5577739          36.122172          1.0000000    
   1.5640749          36.650076          1.0000000    
   1.5703759          37.185696          1.0000000    
   1.5766769          37.729143          1.0000000    
   1.5829780          38.280533          1.0000000    
   1.5892790          38.839980          1.0000000    
   1.5955800          39.407604          1.0000000    
   1.6018811          39.983523          1.0000000    
   1.6081821          40.567859          1.0000000    
   1.6144831          41.160735          1.0000000    
   1.6207842          41.762275          1.0000000    
   1.6270852          42.372607          1.0000000    
   1.6333862          42.991858          1.0000000    
   1.6396872          43.620159          1.0000000    
   1.6459883          44.257642          1.0000000    
   1.6522893          44.904442          1.0000000    
   1.6585903          45.560694          1.0000000    
   1.6648914          46.226537          1.0000000    
   1.6711924          46.902111          1.0000000    
   1.6774934          47.587558          1.0000000    
   1.6837945          48.283023          1.0000000    
   1.6900955          48.988651          1.0000000    
   1.6963965          49.704592          1.0000000    
   1.7026975          50.430996          1.0000000    
   1.7089986          51.168015          1.0000000    
   1.7152996          51.915806          1.0000000    
   1.7216006          52.674526          1.0000000    
   1.7279017          53.444333          1.0000000    
   1.7342027          54.225391          1.0000000    
   1.7405037          55.017864          1.0000000    
   1.7468048          55.821918          1.0000000    
   1.7531058          56.637723          1.0000000    
   1.7594068          57.465450          1.0000000    
   1.7657078          58.305274          1.0000000    
   1.7720089          59.157372          1.0000000    
   1.7783099          60.021923          1.0000000    
   1.7846109          60.899108          1.0000000    
   1.7909120          61.789113          1.0000000    
   1.7972130          62.692125          1.0000000    
   1.8035140          63.608334          1.0000000    
   1.8098151          64.537933          1.0000000    
   1.8161161          65.481118          1.0000000    
   1.8224171          66.438086          1.0000000    
   1.8287181          67.409040          1.0000000    
   1.8350192          68.394184          1.0000000    
   1.8413202          69.393725          1.0000000    
   1.8476212          70.407874          1.0000000    
   1.8539223          71.436845          1.0000000    
   1.8602233          72.480853          1.0000000    
   1.8665243          73.540118          1.0000000    
   1.8728254          74.614864          1.0000000    
   1.8791264          75.705317          1.0000000    
   1.8854274          76.811706          1.0000000    
   1.8917284          77.934265          1.0000000    
   1.8980295          79.073229          1.0000000    
   1.9043305          80.228838          1.0000000    
   1.9106315          81.401336          1.0000000    
   1.9169326          82.590969          1.0000000    
   1.9232336          83.797988          1.0000000    
   1.9295346          85.022647          1.0000000    
   1.9358357          86.265204          1.0000000    
   1.9421367          87.525920          1.0000000    
   1.9484377          88.805060          1.0000000    
   1.9547387          90.102895          1.0000000    
   1.9610398          91.419696          1.0000000    
   1.9673408          92.755742          1.0000000    
   1.9736418          94.111313          1.0000000    
   1.9799429          95.486695          1.0000000    
   1.9862439          96.882178          1.0000000    
   1.9925449          98.298055          1.0000000    
   1.9988460          99.734624          1.0000000    
   2.0051470          101.19219          1.0000000    
   2.0114480          102.67105          1.0000000    
   2.0177490          104.17153          1.0000000    
   2.0240501          105.69394          1.0000000    
   2.0303511          107.23859          1.0000000    
   2.0366521          108.80582          1.0000000    
   2.0429532          110.39596          1.0000000    
   2.0492542          112.00933          1.0000000    
   2.0555552          113.64628          1.0000000    
   2.0618563          115.30715          1.0000000    
   2.0681573          116.99230          1.0000000    
   2.0744583          118.70208          1.0000000    
   2.0807593          120.43684          1.0000000    
   2.0870604          122.19695          1.0000000    
   2.0933614          123.98279          1.0000000    
   2.0996624          125.79473          1.0000000    
   2.1059635          127.63314          1.0000000    
   2.1122645          129.49843          1.0000000    
   2.1185655          131.39097          1.0000000    
   2.1248666          133.31117          1.0000000    
   2.1311676          135.25944          1.0000000    
   2.1374686          137.23618          1.0000000    
   2.1437696          139.24180          1.0000000    
   2.1500707          141.27674          1.0000000    
   2.1563717          143.34142          1.0000000    
   2.1626727          145.43627          1.0000000    
   2.1689738          147.56174          1.0000000    
   2.1752748          149.71827          1.0000000    
   2.1815758          151.90631          1.0000000    
   2.1878769          154.12634          1.0000000    
   2.1941779          156.37880          1.0000000    
   2.2004789          158.66419          1.0000000    
   2.2067799          160.98297          1.0000000    
   2.2130810          163.33565          1.0000000    
   2.2193820          165.72270          1.0000000    
   2.2256830          168.14464          1.0000000    
   2.2319841          170.60198          1.0000000    
   2.2382851          173.09523          1.0000000    
   2.2445861          175.62491          1.0000000    
   2.2508872          178.19157          1.0000000    
   2.2571882          180.79574          1.0000000    
   2.2634892          183.43796          1.0000000    
   2.2697902          186.11880          1.0000000    
   2.2760913          188.83882          1.0000000    
   2.2823923          191.59859          1.0000000    
   2.2886933          194.39869          1.0000000    
   2.2949944          197.23971          1.0000000    
   2.3012954          200.12226          1.0000000    
   2.3075964          203.04693          1.0000000    
   2.3138975          206.01434          1.0000000    
   2.3201985          209.02512          1.0000000    
   2.3264995          212.07990          1.0000000    
   2.3328005          215.17933          1.0000000    
   2.3391016          218.32405          1.0000000    
   2.3454026          221.51473          1.0000000    
   2.3517036          224.75203          1.0000000    
   2.3580047          228.03666          1.0000000    
   2.3643057          231.36928          1.0000000    
   2.3706067          234.75061          1.0000000    
   2.3769078          238.18135          1.0000000    
   2.3832088          241.66223          1.0000000    
   2.3895098          245.19399          1.0000000    
   2.3958108          248.77735          1.0000000    
   2.4021119          252.41309          1.0000000    
   2.4084129          256.10196          1.0000000    
   2.4147139          259.84474          1.0000000    
   2.4210150          263.64222          1.0000000    
   2.4273160          267.49520          1.0000000    
   2.4336170          271.40449          1.0000000    
   2.4399181          275.37091          1.0000000    
   2.4462191          279.39529          1.0000000    
   2.4525201          283.47849          1.0000000    
   2.4588211          287.62136          1.0000000    
   2.4651222          291.82478          1.0000000    
   2.4714232          296.08963          1.0000000    
   2.4777242          300.41681          1.0000000    
   2.4840253          304.80723          1.0000000    
   2.4903263          309.26181          1.0000000    
   2.4966273          313.78149          1.0000000    
   2.5029284          318.36723          1.0000000    
   2.5092294          323.01998          1.0000000    
   2.5155304          327.74073          1.0000000    
   2.5218314          332.53047          1.0000000    
   2.5281325          337.39021          1.0000000    
   2.5344335          342.32097          1.0000000    
   2.5407345          347.32379          1.0000000    
   2.5470356          352.39973          1.0000000    
   2.5533366          357.54984          1.0000000    
   2.5596376          362.77523          1.0000000    
   2.5659387          368.07698          1.0000000    
   2.5722397          373.45621          1.0000000    
   2.5785407          378.91405          1.0000000    
   2.5848417          384.45166          1.0000000    
   2.5911428          390.07020          1.0000000    
   2.5974438          395.77085          1.0000000    
   2.6037448          401.55481          1.0000000    
   2.6100459          407.42330          1.0000000    
   2.6163469          413.37756          1.0000000    
   2.6226479          419.41883          1.0000000    
   2.6289490          425.54839          1.0000000    
   2.6352500          431.76753          1.0000000    
   2.6415510          438.07756          1.0000000    
   2.6478520          444.47981          1.0000000    
   2.6541531          450.97563          1.0000000    
   2.6604541          457.56638          1.0000000    
