   LOG10(FN) FN  Arguments: TI11, TI12 ... TI21, TI22 ... [deg]
  0.26623564E-01      1.0632210          0.0000000    
  0.32924594E-01      1.0787594          0.0000000    
  0.39225624E-01      1.0945248          0.0000000    
  0.45526654E-01      1.1105207          0.0000000    
  0.51827684E-01      1.1267503          0.0000000    
  0.58128714E-01      1.1432171          0.0000000    
  0.64429744E-01      1.1599246          0.0000000    
  0.70730774E-01      1.1768762          0.0000000    
  0.77031804E-01      1.1940755          0.0000000    
  0.83332834E-01      1.2115263          0.0000000    
  0.89633864E-01      1.2292320          0.0000000    
  0.95934894E-01      1.2471965          0.0000000    
  0.10223592          1.2654236          0.0000000    
  0.10853695          1.2839170          0.0000000    
  0.11483798          1.3026807          0.0000000    
  0.12113901          1.3217186          0.0000000    
  0.12744004          1.3410348          0.0000000    
  0.13374107          1.3606332          0.0000000    
  0.14004210          1.3805181          0.0000000    
  0.14634313          1.4006936          0.0000000    
  0.15264416          1.4211639          0.0000000    
  0.15894519          1.4419334          0.0000000    
  0.16524622          1.4630064          0.0000000    
  0.17154725          1.4843874          0.0000000    
  0.17784828          1.5060808          0.0000000    
  0.18414931          1.5280913          0.0000000    
  0.19045034          1.5504235          0.0000000    
  0.19675137          1.5730820          0.0000000    
  0.20305240          1.5960717          0.0000000    
  0.20935343          1.6193974          0.0000000    
  0.21565446          1.6430639          0.0000000    
  0.22195549          1.6670764          0.0000000    
  0.22825652          1.6914397          0.0000000    
  0.23455755          1.7161591          0.0000000    
  0.24085858          1.7412398          0.0000000    
  0.24715961          1.7666870          0.0000000    
  0.25346064          1.7925061          0.0000000    
  0.25976167          1.8187025          0.0000000    
  0.26606270          1.8452818          0.0000000    
  0.27236373          1.8722495          0.0000000    
  0.27866476          1.8996114          0.0000000    
  0.28496579          1.9273731          0.0000000    
  0.29126682          1.9555405          0.0000000    
  0.29756785          1.9841196          0.0000000    
  0.30386888          2.0131164          0.0000000    
  0.31016991          2.0425369          0.0000000    
  0.31647094          2.0723874          0.0000000    
  0.32277197          2.1026741          0.0000000    
  0.32907300          2.1334035          0.0000000    
  0.33537403          2.1645820          0.0000000    
  0.34167506          2.1962161          0.0000000    
  0.34797609          2.2283125          0.0000000    
  0.35427712          2.2608780          0.0000000    
  0.36057815          2.2939194          0.0000000    
  0.36687918          2.3274437          0.0000000    
  0.37318021          2.3614579          0.0000000    
  0.37948124          2.3959693          0.0000000    
  0.38578227          2.4309850          0.0000000    
  0.39208330          2.4665124          0.0000000    
  0.39838433          2.5025591          0.0000000    
  0.40468536          2.5391325          0.0000000    
  0.41098639          2.5762404          0.0000000    
  0.41728742          2.6138907          0.0000000    
  0.42358845          2.6520912          0.0000000    
  0.42988948          2.6908500          0.0000000    
  0.43619051          2.7301752          0.0000000    
  0.44249154          2.7700751          0.0000000    
  0.44879257          2.8105581          0.0000000    
  0.45509360          2.8516328          0.0000000    
  0.46139463          2.8933078          0.0000000    
  0.46769566          2.9355918          0.0000000    
  0.47399669          2.9784938          0.0000000    
  0.48029772          3.0220227          0.0000000    
  0.48659875          3.0661878          0.0000000    
  0.49289978          3.1109984          0.0000000    
  0.49920081          3.1564638          0.0000000    
  0.50550184          3.2025937          0.0000000    
  0.51180287          3.2493977          0.0000000    
  0.51810390          3.2968858          0.0000000    
  0.52440493          3.3450679          0.0000000    
  0.53070596          3.3939541          0.0000000    
  0.53700699          3.4435548          0.0000000    
  0.54330802          3.4938803          0.0000000    
  0.54960905          3.5449413          0.0000000    
  0.55591008          3.5967486          0.0000000    
  0.56221111          3.6493130          0.0000000    
  0.56851214          3.7026456          0.0000000    
  0.57481317          3.7567576          0.0000000    
  0.58111420          3.8116604          0.0000000    
  0.58741523          3.8673656          0.0000000    
  0.59371626          3.9238849          0.0000000    
  0.60001729          3.9812302          0.0000000    
  0.60631832          4.0394136          0.0000000    
  0.61261935          4.0984473          0.0000000    
  0.61892038          4.1583437          0.0000000    
  0.62522141          4.2191155          0.0000000    
  0.63152244          4.2807754          0.0000000    
  0.63782347          4.3433365          0.0000000    
  0.64412450          4.4068118          0.0000000    
  0.65042553          4.4712148          0.0000000    
  0.65672656          4.5365590          0.0000000    
  0.66302759          4.6028582          0.0000000    
  0.66932862          4.6701263          0.0000000    
  0.67562965          4.7383775          0.0000000    
  0.68193068          4.8076261          0.0000000    
  0.68823171          4.8778868          0.0000000    
  0.69453274          4.9491742          0.0000000    
  0.70083377          5.0215035          0.0000000    
  0.70713480          5.0948899          0.0000000    
  0.71343583          5.1693488          0.0000000    
  0.71973686          5.2448958          0.0000000    
  0.72603789          5.3215469          0.0000000    
  0.73233892          5.3993182          0.0000000    
  0.73863995          5.4782261          0.0000000    
  0.74494098          5.5582872          0.0000000    
  0.75124201          5.6395183          0.0000000    
  0.75754304          5.7219366          0.0000000    
  0.76384407          5.8055594          0.0000000    
  0.77014510          5.8904043          0.0000000    
  0.77644613          5.9764891          0.0000000    
  0.78274716          6.0638320          0.0000000    
  0.78904819          6.1524514          0.0000000    
  0.79534922          6.2423659          0.0000000    
  0.80165025          6.3335945          0.0000000    
  0.80795128          6.4261563          0.0000000    
  0.81425231          6.5200708          0.0000000    
  0.82055334          6.6153579          0.0000000    
  0.82685437          6.7120375          0.0000000    
  0.83315540          6.8101300          0.0000000    
  0.83945643          6.9096561          0.0000000    
  0.84575746          7.0106367          0.0000000    
  0.85205849          7.1130931          0.0000000    
  0.85835952          7.2170468          0.0000000    
  0.86466055          7.3225198          0.0000000    
  0.87096158          7.4295342          0.0000000    
  0.87726261          7.5381125          0.0000000    
  0.88356364          7.6482776          0.0000000    
  0.88986467          7.7600528          0.0000000    
  0.89616570          7.8734614          0.0000000    
  0.90246673          7.9885275          0.0000000    
  0.90876776          8.1052752          0.0000000    
  0.91506879          8.2237291          0.0000000    
  0.92136982          8.3439141          0.0000000    
  0.92767085          8.4658555          0.0000000    
  0.93397188          8.5895791          0.0000000    
  0.94027291          8.7151108          0.0000000    
  0.94657394          8.8424771          0.0000000    
  0.95287497          8.9717048          0.0000000    
  0.95917600          9.1028210          0.0000000    
  0.96547703          9.2358535          0.0000000    
  0.97177806          9.3708301          0.0000000    
  0.97807909          9.5077793          0.0000000    
  0.98438012          9.6467300          0.0000000    
  0.99068115          9.7877114          0.0000000    
  0.99698218          9.9307531          0.0000000    
   1.0032832          10.075885          0.0000000    
   1.0095842          10.223138          0.0000000    
   1.0158853          10.372544          0.0000000    
   1.0221863          10.524132          0.0000000    
   1.0284873          10.677936          0.0000000    
   1.0347884          10.833988          0.0000000    
   1.0410894          10.992321          0.0000000    
   1.0473904          11.152967          0.0000000    
   1.0536915          11.315961          0.0000000    
   1.0599925          11.481337          0.0000000    
   1.0662935          11.649131          0.0000000    
   1.0725945          11.819376          0.0000000    
   1.0788956          11.992109          0.0000000    
   1.0851966          12.167367          0.0000000    
   1.0914976          12.345186          0.0000000    
   1.0977987          12.525604          0.0000000    
   1.1040997          12.708658          0.0000000    
   1.1104007          12.894388          0.0000000    
   1.1167018          13.082832          0.0000000    
   1.1230028          13.274030          0.0000000    
   1.1293038          13.468022          0.0000000    
   1.1356048          13.664849          0.0000000    
   1.1419059          13.864553          0.0000000    
   1.1482069          14.067175          0.0000000    
   1.1545079          14.272759          0.0000000    
   1.1608090          14.481347          0.0000000    
   1.1671100          14.692984          0.0000000    
   1.1734110          14.907713          0.0000000    
   1.1797121          15.125581          0.0000000    
   1.1860131          15.346632          0.0000000    
   1.1923141          15.570914          0.0000000    
   1.1986151          15.798474          0.0000000    
   1.2049162          16.029360          0.0000000    
   1.2112172          16.263619          0.0000000    
   1.2175182          16.501303          0.0000000    
   1.2238193          16.742460          0.0000000    
   1.2301203          16.987141          0.0000000    
   1.2364213          17.235398          0.0000000    
   1.2427224          17.487284          0.0000000    
   1.2490234          17.742850          0.0000000    
   1.2553244          18.002152          0.0000000    
