  LOG10(FN)  FN  Calc./Fitted arg(Hmode) H1c, H1f, H2c, H2f ... [deg]
  0.37318021          2.3614579        -0.46140409        -0.45426672    
  0.37948124          2.3959693        -0.46654076        -0.45941733    
  0.38578227          2.4309850        -0.47175467        -0.46465319    
  0.39208330          2.4665124        -0.47704680        -0.46997530    
  0.39838433          2.5025591        -0.48241813        -0.47538463    
  0.40468536          2.5391325        -0.48786966        -0.48088218    
  0.41098639          2.5762404        -0.49340237        -0.48646894    
  0.41728742          2.6138907        -0.49901730        -0.49214592    
  0.42358845          2.6520912        -0.50471545        -0.49791411    
  0.42988948          2.6908500        -0.51049788        -0.50377452    
  0.43619051          2.7301752        -0.51636562        -0.50972816    
  0.44249154          2.7700751        -0.52231975        -0.51577603    
  0.44879257          2.8105581        -0.52836132        -0.52191915    
  0.45509360          2.8516328        -0.53449144        -0.52815854    
  0.46139463          2.8933078        -0.54071120        -0.53449521    
  0.46769566          2.9355918        -0.54702170        -0.54093020    
  0.47399669          2.9784938        -0.55342408        -0.54746452    
  0.48029772          3.0220227        -0.55991948        -0.55409922    
  0.48659875          3.0661878        -0.56650904        -0.56083532    
  0.49289978          3.1109984        -0.57319393        -0.56767386    
  0.49920081          3.1564638        -0.57997533        -0.57461589    
  0.50550184          3.2025937        -0.58685443        -0.58166246    
  0.51180287          3.2493977        -0.59383245        -0.58881461    
  0.51810390          3.2968858        -0.60091061        -0.59607340    
  0.52440493          3.3450679        -0.60809014        -0.60343990    
  0.53070596          3.3939541        -0.61537231        -0.61091516    
  0.53700699          3.4435548        -0.62275837        -0.61850026    
  0.54330802          3.4938803        -0.63024961        -0.62619627    
  0.54960905          3.5449413        -0.63784734        -0.63400426    
  0.55591008          3.5967486        -0.64555287        -0.64192533    
  0.56221111          3.6493130        -0.65336754        -0.64996056    
  0.56851214          3.7026456        -0.66129269        -0.65811106    
  0.57481317          3.7567576        -0.66932970        -0.66637791    
  0.58111420          3.8116604        -0.67747994        -0.67476222    
  0.58741523          3.8673656        -0.68574482        -0.68326512    
  0.59371626          3.9238849        -0.69412576        -0.69188773    
  0.60001729          3.9812302        -0.70262419        -0.70063116    
  0.60631832          4.0394136        -0.71124158        -0.70949655    
  0.61261935          4.0984473        -0.71997938        -0.71848506    
  0.61892038          4.1583437        -0.72883911        -0.72759782    
  0.62522141          4.2191155        -0.73782226        -0.73683600    
  0.63152244          4.2807754        -0.74693037        -0.74620077    
  0.63782347          4.3433365        -0.75616499        -0.75569331    
  0.64412450          4.4068118        -0.76552768        -0.76531480    
  0.65042553          4.4712148        -0.77502005        -0.77506645    
  0.65672656          4.5365590        -0.78464369        -0.78494948    
  0.66302759          4.6028582        -0.79440023        -0.79496509    
  0.66932862          4.6701263        -0.80429134        -0.80511454    
  0.67562965          4.7383775        -0.81431868        -0.81539906    
  0.68193068          4.8076261        -0.82448394        -0.82581994    
  0.68823171          4.8778868        -0.83478885        -0.83637844    
  0.69453274          4.9491742        -0.84523513        -0.84707586    
  0.70083377          5.0215035        -0.85582454        -0.85791353    
  0.70713480          5.0948899        -0.86655887        -0.86889277    
  0.71343583          5.1693488        -0.87743993        -0.88001493    
  0.71973686          5.2448958        -0.88846954        -0.89128138    
  0.72603789          5.3215469        -0.89964954        -0.90269353    
  0.73233892          5.3993182        -0.91098182        -0.91425279    
  0.73863995          5.4782261        -0.92246827        -0.92596059    
  0.74494098          5.5582872        -0.93411082        -0.93781840    
  0.75124201          5.6395183        -0.94591141        -0.94982772    
  0.75754304          5.7219366        -0.95787202        -0.96199006    
  0.76384407          5.8055594        -0.96999463        -0.97430697    
  0.77014510          5.8904043        -0.98228128        -0.98678004    
  0.77644613          5.9764891        -0.99473402        -0.99941086    
  0.78274716          6.0638320         -1.0073549         -1.0122011    
  0.78904819          6.1524514         -1.0201461         -1.0251524    
  0.79534922          6.2423659         -1.0331096         -1.0382665    
  0.80165025          6.3335945         -1.0462476         -1.0515452    
  0.80795128          6.4261563         -1.0595624         -1.0649902    
  0.81425231          6.5200708         -1.0730562         -1.0786034    
  0.82055334          6.6153579         -1.0867310         -1.0923867    
  0.82685437          6.7120375         -1.1005894         -1.1063419    
  0.83315540          6.8101300         -1.1146334         -1.1204711    
  0.83945643          6.9096561         -1.1288655         -1.1347763    
  0.84575746          7.0106367         -1.1432880         -1.1492594    
  0.85205849          7.1130931         -1.1579033         -1.1639227    
  0.85835952          7.2170468         -1.1727138         -1.1787683    
  0.86466055          7.3225198         -1.1877219         -1.1937984    
  0.87096158          7.4295342         -1.2029302         -1.2090153    
  0.87726261          7.5381125         -1.2183411         -1.2244214    
  0.88356364          7.6482776         -1.2339571         -1.2400189    
  0.88986467          7.7600528         -1.2497809         -1.2558104    
  0.89616570          7.8734614         -1.2658150         -1.2717983    
  0.90246673          7.9885275         -1.2820621         -1.2879853    
  0.90876776          8.1052752         -1.2985248         -1.3043739    
  0.91506879          8.2237291         -1.3152058         -1.3209669    
  0.92136982          8.3439141         -1.3321079         -1.3377670    
  0.92767085          8.4658555         -1.3492338         -1.3547770    
  0.93397188          8.5895791         -1.3665864         -1.3719999    
  0.94027291          8.7151108         -1.3841684         -1.3894385    
  0.94657394          8.8424771         -1.4019828         -1.4070960    
  0.95287497          8.9717048         -1.4200324         -1.4249754    
  0.95917600          9.1028210         -1.4383203         -1.4430799    
  0.96547703          9.2358535         -1.4568493         -1.4614127    
  0.97177806          9.3708301         -1.4756225         -1.4799771    
  0.97807909          9.5077793         -1.4946430         -1.4987765    
  0.98438012          9.6467300         -1.5139138         -1.5178143    
  0.99068115          9.7877114         -1.5334381         -1.5370942    
  0.99698218          9.9307531         -1.5532191         -1.5566196    
   1.0032832          10.075885         -1.5732599         -1.5763942    
   1.0095842          10.223138         -1.5935639         -1.5964217    
   1.0158853          10.372544         -1.6141342         -1.6167060    
   1.0221863          10.524132         -1.6349743         -1.6372509    
   1.0284873          10.677936         -1.6560875         -1.6580603    
   1.0347884          10.833988         -1.6774772         -1.6791384    
   1.0410894          10.992321         -1.6991469         -1.7004890    
   1.0473904          11.152967         -1.7211001         -1.7221164    
   1.0536915          11.315961         -1.7433402         -1.7440248    
   1.0599925          11.481337         -1.7658709         -1.7662184    
   1.0662935          11.649131         -1.7886959         -1.7887016    
   1.0725945          11.819376         -1.8118187         -1.8114788    
   1.0788956          11.992109         -1.8352431         -1.8345544    
   1.0851966          12.167367         -1.8589729         -1.8579329    
   1.0914976          12.345186         -1.8830119         -1.8816190    
   1.0977987          12.525604         -1.9073638         -1.9056172    
   1.1040997          12.708658         -1.9320327         -1.9299323    
   1.1104007          12.894388         -1.9570224         -1.9545689    
   1.1167018          13.082832         -1.9823369         -1.9795319    
   1.1230028          13.274030         -2.0079804         -2.0048261    
   1.1293038          13.468022         -2.0339568         -2.0304565    
   1.1356048          13.664849         -2.0602703         -2.0564279    
   1.1419059          13.864553         -2.0869250         -2.0827453    
   1.1482069          14.067175         -2.1139254         -2.1094139    
   1.1545079          14.272759         -2.1412755         -2.1364385    
   1.1608090          14.481347         -2.1689797         -2.1638245    
   1.1671100          14.692984         -2.1970425         -2.1915768    
   1.1734110          14.907713         -2.2254683         -2.2197008    
   1.1797121          15.125581         -2.2542615         -2.2482016    
   1.1860131          15.346632         -2.2834268         -2.2770845    
   1.1923141          15.570914         -2.3129686         -2.3063548    
   1.1986151          15.798474         -2.3428917         -2.3360178    
   1.2049162          16.029360         -2.3732008         -2.3660789    
   1.2112172          16.263619         -2.4039006         -2.3965435    
   1.2175182          16.501303         -2.4349959         -2.4274169    
   1.2238193          16.742460         -2.4664917         -2.4587046    
   1.2301203          16.987141         -2.4983928         -2.4904121    
   1.2364213          17.235398         -2.5307042         -2.5225448    
   1.2427224          17.487284         -2.5634310         -2.5551083    
   1.2490234          17.742850         -2.5965783         -2.5881080    
   1.2553244          18.002152         -2.6301512         -2.6215495    
   1.2616254          18.265243         -2.6641549         -2.6554384    
   1.2679265          18.532178         -2.6985948         -2.6897802    
   1.2742275          18.803015         -2.7334762         -2.7245805    
   1.2805285          19.077811         -2.7688044         -2.7598450    
   1.2868296          19.356622         -2.8045849         -2.7955792    
   1.2931306          19.639508         -2.8408233         -2.8317888    
   1.2994316          19.926528         -2.8775251         -2.8684794    
   1.3057327          20.217742         -2.9146960         -2.9056567    
   1.3120337          20.513213         -2.9523416         -2.9433264    
   1.3183347          20.813001         -2.9904678         -2.9814942    
   1.3246357          21.117171         -3.0290804         -3.0201657    
   1.3309368          21.425787         -3.0681853         -3.0593467    
   1.3372378          21.738912         -3.1077885         -3.0990429    
   1.3435388          22.056614         -3.1478959         -3.1392601    
   1.3498399          22.378958         -3.1885137         -3.1800039    
   1.3561409          22.706014         -3.2296481         -3.2212803    
   1.3624419          23.037849         -3.2713053         -3.2630949    
   1.3687430          23.374534         -3.3134915         -3.3054536    
   1.3750440          23.716139         -3.3562132         -3.3483621    
   1.3813450          24.062736         -3.3994768         -3.3918264    
   1.3876460          24.414399         -3.4432888         -3.4358523    
   1.3939471          24.771202         -3.4876557         -3.4804457    
   1.4002481          25.133218         -3.5325842         -3.5256125    
   1.4065491          25.500526         -3.5780811         -3.5713587    
   1.4128502          25.873201         -3.6241530         -3.6176901    
   1.4191512          26.251323         -3.6708069         -3.6646129    
   1.4254522          26.634971         -3.7180498         -3.7121329    
   1.4317533          27.024225         -3.7658885         -3.7602564    
   1.4380543          27.419169         -3.8143301         -3.8089895    
   1.4443553          27.819884         -3.8633819         -3.8583381    
   1.4506563          28.226455         -3.9130510         -3.9083087    
   1.4569574          28.638969         -3.9633448         -3.9589073    
   1.4632584          29.057510         -4.0142705         -4.0101404    
   1.4695594          29.482169         -4.0658357         -4.0620142    
   1.4758605          29.913034         -4.1180479         -4.1145352    
   1.4821615          30.350196         -4.1709146         -4.1677098    
   1.4884625          30.793746         -4.2244435         -4.2215446    
   1.4947636          31.243779         -4.2786424         -4.2760463    
   1.5010646          31.700388         -4.3335192         -4.3312214    
   1.5073656          32.163671         -4.3890816         -4.3870768    
   1.5136666          32.633725         -4.4453378         -4.4436193    
   1.5199677          33.110647         -4.5022957         -4.5008560    
   1.5262687          33.594540         -4.5599635         -4.5587937    
   1.5325697          34.085505         -4.6183494         -4.6174398    
   1.5388708          34.583645         -4.6774617         -4.6768014    
   1.5451718          35.089065         -4.7373089         -4.7368859    
   1.5514728          35.601871         -4.7978993         -4.7977007    
   1.5577739          36.122172         -4.8592415         -4.8592536    
   1.5640749          36.650076         -4.9213442         -4.9215522    
   1.5703759          37.185696         -4.9842160         -4.9846043    
   1.5766769          37.729143         -5.0478658         -5.0484180    
   1.5829780          38.280533         -5.1123023         -5.1130014    
   1.5892790          38.839980         -5.1775347         -5.1783627    
   1.5955800          39.407604         -5.2435719         -5.2445104    
   1.6018811          39.983523         -5.3104230         -5.3114532    
   1.6081821          40.567859         -5.3780973         -5.3791996    
   1.6144831          41.160735         -5.4466041         -5.4477587    
   1.6207842          41.762275         -5.5159528         -5.5171394    
   1.6270852          42.372607         -5.5861529         -5.5873511    
   1.6333862          42.991858         -5.6572138         -5.6584032    
   1.6396872          43.620159         -5.7291454         -5.7303052    
   1.6459883          44.257642         -5.8019573         -5.8030669    
   1.6522893          44.904442         -5.8756594         -5.8766984    
   1.6585903          45.560694         -5.9502617         -5.9512097    
   1.6648914          46.226537         -6.0257741         -6.0266112    
   1.6711924          46.902111         -6.1022068         -6.1029134    
   1.6774934          47.587558         -6.1795700         -6.1801271    
   1.6837945          48.283023         -6.2578740         -6.2582632    
   1.6900955          48.988651         -6.3371292         -6.3373327    
   1.6963965          49.704592         -6.4173463         -6.4173470    
   1.7026975          50.430996         -6.4985357         -6.4983176    
   1.7089986          51.168015         -6.5807082         -6.5802563    
   1.7152996          51.915806         -6.6638746         -6.6631748    
   1.7216006          52.674526         -6.7480459         -6.7470852    
   1.7279017          53.444333         -6.8332330         -6.8320000    
   1.7342027          54.225391         -6.9194472         -6.9179315    
   1.7405037          55.017864         -7.0066996         -7.0048923    
   1.7468048          55.821918         -7.0950017         -7.0928954    
   1.7531058          56.637723         -7.1843649         -7.1819537    
   1.7594068          57.465450         -7.2748008         -7.2720804    
   1.7657078          58.305274         -7.3663211         -7.3632890    
   1.7720089          59.157372         -7.4589377         -7.4555929    
   1.7783099          60.021923         -7.5526624         -7.5490059    
   1.7846109          60.899108         -7.6475075         -7.6435419    
   1.7909120          61.789113         -7.7434850         -7.7392148    
   1.7972130          62.692125         -7.8406074         -7.8360389    
   1.8035140          63.608334         -7.9388870         -7.9340285    
   1.8098151          64.537933         -8.0383365         -8.0331980    
   1.8161161          65.481118         -8.1389686         -8.1335621    
   1.8224171          66.438086         -8.2407963         -8.2351354    
   1.8287181          67.409040         -8.3438324         -8.3379329    
   1.8350192          68.394184         -8.4480902         -8.4419695    
   1.8413202          69.393725         -8.5535830         -8.5472603    
   1.8476212          70.407874         -8.6603243         -8.6538204    
   1.8539223          71.436845         -8.7683276         -8.7616652    
   1.8602233          72.480853         -8.8776068         -8.8708101    
   1.8665243          73.540118         -8.9881758         -8.9812704    
   1.8728254          74.614864         -9.1000488         -9.0930618    
   1.8791264          75.705317         -9.2132399         -9.2061998    
   1.8854274          76.811706         -9.3277637         -9.3207003    
   1.8917284          77.934265         -9.4436347         -9.4365789    
   1.8980295          79.073229         -9.5608679         -9.5538514    
   1.9043305          80.228838         -9.6794781         -9.6725338    
   1.9106315          81.401336         -9.7994805         -9.7926420    
   1.9169326          82.590969         -9.9208906         -9.9141919    
   1.9232336          83.797988         -10.043724         -10.037200    
   1.9295346          85.022647         -10.167996         -10.161682    
   1.9358357          86.265204         -10.293723         -10.287653    
   1.9421367          87.525920         -10.420921         -10.415131    
   1.9484377          88.805060         -10.549607         -10.544132    
   1.9547387          90.102895         -10.679797         -10.674671    
   1.9610398          91.419696         -10.811508         -10.806766    
   1.9673408          92.755742         -10.944756         -10.940432    
   1.9736418          94.111313         -11.079560         -11.075685    
   1.9799429          95.486695         -11.215936         -11.212544    
   1.9862439          96.882178         -11.353903         -11.351023    
   1.9925449          98.298055         -11.493478         -11.491139    
   1.9988460          99.734624         -11.634679         -11.632910    
   2.0051470          101.19219         -11.777526         -11.776351    
   2.0114480          102.67105         -11.922036         -11.921481    
   2.0177490          104.17153         -12.068228         -12.068315    
   2.0240501          105.69394         -12.216123         -12.216870    
   2.0303511          107.23859         -12.365738         -12.367165    
   2.0366521          108.80582         -12.517094         -12.519215    
   2.0429532          110.39596         -12.670210         -12.673039    
   2.0492542          112.00933         -12.825108         -12.828653    
   2.0555552          113.64628         -12.981807         -12.986076    
   2.0618563          115.30715         -13.140327         -13.145326    
   2.0681573          116.99230         -13.300691         -13.306419    
   2.0744583          118.70208         -13.462919         -13.469376    
   2.0807593          120.43684         -13.627032         -13.634212    
   2.0870604          122.19695         -13.793053         -13.800949    
   2.0933614          123.98279         -13.961004         -13.969603    
   2.0996624          125.79473         -14.130906         -14.140196    
   2.1059635          127.63314         -14.302783         -14.312744    
   2.1122645          129.49843         -14.476656         -14.487269    
   2.1185655          131.39097         -14.652550         -14.663791    
   2.1248666          133.31117         -14.830488         -14.842329    
   2.1311676          135.25944         -15.010493         -15.022904    
   2.1374686          137.23618         -15.192589         -15.205537    
   2.1437696          139.24180         -15.376801         -15.390249    
   2.1500707          141.27674         -15.563152         -15.577063    
   2.1563717          143.34142         -15.751668         -15.765999    
   2.1626727          145.43627         -15.942374         -15.957081    
   2.1689738          147.56174         -16.135295         -16.150332    
   2.1752748          149.71827         -16.330456         -16.345774    
   2.1815758          151.90631         -16.527883         -16.543432    
   2.1878769          154.12634         -16.727603         -16.743330    
   2.1941779          156.37880         -16.929641         -16.945492    
   2.2004789          158.66419         -17.134025         -17.149945    
   2.2067799          160.98297         -17.340780         -17.356713    
   2.2130810          163.33565         -17.549935         -17.565823    
   2.2193820          165.72270         -17.761517         -17.777301    
   2.2256830          168.14464         -17.975553         -17.991176    
   2.2319841          170.60198         -18.192071         -18.207474    
   2.2382851          173.09523         -18.411099         -18.426225    
   2.2445861          175.62491         -18.632667         -18.647456    
   2.2508872          178.19157         -18.856802         -18.871199    
   2.2571882          180.79574         -19.083533         -19.097481    
   2.2634892          183.43796         -19.312890         -19.326335    
   2.2697902          186.11880         -19.544902         -19.557792    
   2.2760913          188.83882         -19.779599         -19.791882    
   2.2823923          191.59859         -20.017010         -20.028638    
   2.2886933          194.39869         -20.257166         -20.268093    
   2.2949944          197.23971         -20.500098         -20.510281    
   2.3012954          200.12226         -20.745836         -20.755233    
   2.3075964          203.04693         -20.994411         -21.002986    
   2.3138975          206.01434         -21.245854         -21.253574    
   2.3201985          209.02512         -21.500197         -21.507031    
   2.3264995          212.07990         -21.757471         -21.763395    
   2.3328005          215.17933         -22.017708         -22.022699    
   2.3391016          218.32405         -22.280941         -22.284982    
   2.3454026          221.51473         -22.547202         -22.550281    
   2.3517036          224.75203         -22.816523         -22.818631    
   2.3580047          228.03666         -23.088938         -23.090072    
   2.3643057          231.36928         -23.364480         -23.364641    
   2.3706067          234.75061         -23.643182         -23.642377    
   2.3769078          238.18135         -23.925078         -23.923318    
   2.3832088          241.66223         -24.210202         -24.207503    
   2.3895098          245.19399         -24.498588         -24.494971    
   2.3958108          248.77735         -24.790270         -24.785762    
   2.4021119          252.41309         -25.085284         -25.079916    
   2.4084129          256.10196         -25.383664         -25.377472    
   2.4147139          259.84474         -25.685445         -25.678470    
   2.4210150          263.64222         -25.990663         -25.982950    
   2.4273160          267.49520         -26.299354         -26.290953    
   2.4336170          271.40449         -26.611554         -26.602519    
   2.4399181          275.37091         -26.927298         -26.917688    
   2.4462191          279.39529         -27.246625         -27.236500    
   2.4525201          283.47849         -27.569569         -27.558996    
   2.4588211          287.62136         -27.896169         -27.885216    
   2.4651222          291.82478         -28.226462         -28.215201    
   2.4714232          296.08963         -28.560486         -28.548991    
   2.4777242          300.41681         -28.898278         -28.886626    
   2.4840253          304.80723         -29.239877         -29.228147    
   2.4903263          309.26181         -29.585321         -29.573592    
   2.4966273          313.78149         -29.934649         -29.923004    
   2.5029284          318.36723         -30.287900         -30.276421    
   2.5092294          323.01998         -30.645114         -30.633883    
   2.5155304          327.74073         -31.006330         -30.995429    
   2.5218314          332.53047         -31.371588         -31.361100    
   2.5281325          337.39021         -31.740929         -31.730935    
   2.5344335          342.32097         -32.114393         -32.104972    
   2.5407345          347.32379         -32.492021         -32.483251    
   2.5470356          352.39973         -32.873854         -32.865811    
   2.5533366          357.54984         -33.259933         -33.252690    
   2.5596376          362.77523         -33.650301         -33.643928    
   2.5659387          368.07698         -34.045000         -34.039563    
   2.5722397          373.45621         -34.444072         -34.439634    
   2.5785407          378.91405         -34.847560         -34.844178    
   2.5848417          384.45166         -35.255507         -35.253235    
   2.5911428          390.07020         -35.667957         -35.666842    
   2.5974438          395.77085         -36.084953         -36.085038    
   2.6037448          401.55481         -36.506539         -36.507861    
   2.6100459          407.42330         -36.932760         -36.935350    
   2.6163469          413.37756         -37.363661         -37.367542    
   2.6226479          419.41883         -37.799286         -37.804477    
   2.6289490          425.54839         -38.239681         -38.246193    
   2.6352500          431.76753         -38.684892         -38.692729    
   2.6415510          438.07756         -39.134965         -39.144123    
   2.6478520          444.47981         -39.589946         -39.600415    
   2.6541531          450.97563         -40.049882         -40.061645    
   2.6604541          457.56638         -40.514820         -40.527851    
   2.6667551          464.25344         -40.984808         -40.999075    
   2.6730562          471.03824         -41.459892         -41.475356    
   2.6793572          477.92219         -41.940123         -41.956736    
   2.6856582          484.90674         -42.425546         -42.443255    
   2.6919593          491.99337         -42.916213         -42.934956    
   2.6982603          499.18357         -43.412170         -43.431881    
   2.7045613          506.47885         -43.913469         -43.934072    
   2.7108623          513.88074         -44.420158         -44.441574    
   2.7171634          521.39081         -44.932287         -44.954431    
   2.7234644          529.01063         -45.449908         -45.472688    
   2.7297654          536.74182         -45.973070         -45.996390    
   2.7360665          544.58599         -46.501824         -46.525583    
   2.7423675          552.54480         -47.036222         -47.060316    
   2.7486685          560.61992         -47.576316         -47.600635    
   2.7549696          568.81305         -48.122157         -48.146591    
   2.7612706          577.12592         -48.673797         -48.698232    
   2.7675716          585.56028         -49.231289         -49.255610    
   2.7738726          594.11791         -49.794686         -49.818776    
   2.7801737          602.80059         -50.364040         -50.387783    
   2.7864747          611.61018         -50.939405         -50.962684    
   2.7927757          620.54850         -51.520835         -51.543534    
   2.7990768          629.61746         -52.108384         -52.130387    
   2.8053778          638.81895         -52.702105         -52.723302    
   2.8116788          648.15492         -53.302053         -53.322334    
   2.8179799          657.62733         -53.908283         -53.927543    
   2.8242809          667.23817         -54.520850         -54.538988    
   2.8305819          676.98947         -55.139808         -55.156728    
   2.8368829          686.88328         -55.765214         -55.780826    
   2.8431840          696.92168         -56.397122         -56.411342    
   2.8494850          707.10678         -57.035590         -57.048341    
   2.8557860          717.44074         -57.680672         -57.691885    
   2.8620871          727.92572         -58.332425         -58.342039    
   2.8683881          738.56393         -58.990906         -58.998869    
   2.8746891          749.35761         -59.656171         -59.662440    
   2.8809902          760.30904         -60.328278         -60.332819    
   2.8872912          771.42051         -61.007283         -61.010074    
   2.8935922          782.69437         -61.693243         -61.694271    
   2.8998932          794.13300         -62.386217         -62.385480    
   2.9061943          805.73879         -63.086262         -63.083769    
   2.9124953          817.51419         -63.793435         -63.789206    
   2.9187963          829.46169         -64.507794         -64.501862    
   2.9250974          841.58379         -65.229399         -65.221806    
