  LOG10(FN)  FN  Calculated  arg(Hphase) H11, H12 ... H21, H22 ... [deg]
  0.37318021          2.3614579         -1.7519659         -1.7448285    
  0.37948124          2.3959693         -1.7759633         -1.7688399    
  0.38578227          2.4309850         -1.8003137         -1.7932122    
  0.39208330          2.4665124         -1.8250219         -1.8179504    
  0.39838433          2.5025591         -1.8500931         -1.8430596    
  0.40468536          2.5391325         -1.8755324         -1.8685450    
  0.41098639          2.5762404         -1.9013450         -1.8944116    
  0.41728742          2.6138907         -1.9275362         -1.9206649    
  0.42358845          2.6520912         -1.9541114         -1.9473100    
  0.42988948          2.6908500         -1.9810759         -1.9743525    
  0.43619051          2.7301752         -2.0084353         -2.0017978    
  0.44249154          2.7700751         -2.0361951         -2.0296514    
  0.44879257          2.8105581         -2.0643611         -2.0579189    
  0.45509360          2.8516328         -2.0929390         -2.0866061    
  0.46139463          2.8933078         -2.1219345         -2.1157185    
  0.46769566          2.9355918         -2.1513537         -2.1452622    
  0.47399669          2.9784938         -2.1812025         -2.1752429    
  0.48029772          3.0220227         -2.2114869         -2.2056666    
  0.48659875          3.0661878         -2.2422131         -2.2365394    
  0.49289978          3.1109984         -2.2733875         -2.2678674    
  0.49920081          3.1564638         -2.3050162         -2.2996568    
  0.50550184          3.2025937         -2.3371058         -2.3319138    
  0.51180287          3.2493977         -2.3696627         -2.3646449    
  0.51810390          3.2968858         -2.4026936         -2.3978564    
  0.52440493          3.3450679         -2.4362051         -2.4315549    
  0.53070596          3.3939541         -2.4702041         -2.4657470    
  0.53700699          3.4435548         -2.5046975         -2.5004394    
  0.54330802          3.4938803         -2.5396922         -2.5356388    
  0.54960905          3.5449413         -2.5751953         -2.5713522    
  0.55591008          3.5967486         -2.6112141         -2.6075865    
  0.56221111          3.6493130         -2.6477557         -2.6443487    
  0.56851214          3.7026456         -2.6848277         -2.6816461    
  0.57481317          3.7567576         -2.7224375         -2.7194857    
  0.58111420          3.8116604         -2.7605927         -2.7578750    
  0.58741523          3.8673656         -2.7993011         -2.7968214    
  0.59371626          3.9238849         -2.8385704         -2.8363324    
  0.60001729          3.9812302         -2.8784087         -2.8764156    
  0.60631832          4.0394136         -2.9188239         -2.9170788    
  0.61261935          4.0984473         -2.9598242         -2.9583299    
