   LOG10(FN) FN  Arguments: Lamda11, Lamda22 ... [deg]
  0.69453274          4.9491742          164.53637    
  0.70083377          5.0215035          164.68844    
  0.70713480          5.0948899          164.83858    
  0.71343583          5.1693488          164.98681    
  0.71973686          5.2448958          165.13314    
  0.72603789          5.3215469          165.27759    
  0.73233892          5.3993182          165.42019    
  0.73863995          5.4782261          165.56094    
  0.74494098          5.5582872          165.69988    
  0.75124201          5.6395183          165.83701    
  0.75754304          5.7219366          165.97236    
  0.76384407          5.8055594          166.10595    
  0.77014510          5.8904043          166.23779    
  0.77644613          5.9764891          166.36790    
  0.78274716          6.0638320          166.49631    
  0.78904819          6.1524514          166.62302    
  0.79534922          6.2423659          166.74806    
  0.80165025          6.3335945          166.87145    
  0.80795128          6.4261563          166.99320    
  0.81425231          6.5200708          167.11333    
  0.82055334          6.6153579          167.23186    
  0.82685437          6.7120375          167.34881    
  0.83315540          6.8101300          167.46419    
  0.83945643          6.9096561          167.57802    
  0.84575746          7.0106367          167.69033    
  0.85205849          7.1130931          167.80112    
  0.85835952          7.2170468          167.91042    
  0.86466055          7.3225198          168.01824    
  0.87096158          7.4295342          168.12459    
  0.87726261          7.5381125          168.22951    
  0.88356364          7.6482776          168.33299    
  0.88986467          7.7600528          168.43506    
  0.89616570          7.8734614          168.53574    
  0.90246673          7.9885275          168.63504    
  0.90876776          8.1052752          168.73297    
  0.91506879          8.2237291          168.82956    
  0.92136982          8.3439141          168.92482    
  0.92767085          8.4658555          169.01876    
  0.93397188          8.5895791          169.11141    
  0.94027291          8.7151108          169.20277    
  0.94657394          8.8424771          169.29286    
  0.95287497          8.9717048          169.38169    
  0.95917600          9.1028210          169.46929    
  0.96547703          9.2358535          169.55567    
  0.97177806          9.3708301          169.64083    
  0.97807909          9.5077793          169.72480    
  0.98438012          9.6467300          169.80759    
  0.99068115          9.7877114          169.88922    
  0.99698218          9.9307531          169.96969    
   1.0032832          10.075885          170.04903    
   1.0095842          10.223138          170.12724    
   1.0158853          10.372544          170.20434    
   1.0221863          10.524132          170.28035    
   1.0284873          10.677936          170.35527    
   1.0347884          10.833988          170.42912    
   1.0410894          10.992321          170.50192    
   1.0473904          11.152967          170.57367    
   1.0536915          11.315961          170.64439    
   1.0599925          11.481337          170.71409    
   1.0662935          11.649131          170.78279    
   1.0725945          11.819376          170.85049    
   1.0788956          11.992109          170.91722    
   1.0851966          12.167367          170.98297    
   1.0914976          12.345186          171.04777    
   1.0977987          12.525604          171.11162    
   1.1040997          12.708658          171.17453    
   1.1104007          12.894388          171.23653    
   1.1167018          13.082832          171.29762    
   1.1230028          13.274030          171.35780    
   1.1293038          13.468022          171.41710    
   1.1356048          13.664849          171.47552    
   1.1419059          13.864553          171.53307    
   1.1482069          14.067175          171.58977    
   1.1545079          14.272759          171.64563    
   1.1608090          14.481347          171.70065    
   1.1671100          14.692984          171.75484    
   1.1734110          14.907713          171.80822    
   1.1797121          15.125581          171.86080    
   1.1860131          15.346632          171.91259    
   1.1923141          15.570914          171.96359    
   1.1986151          15.798474          172.01381    
   1.2049162          16.029360          172.06327    
   1.2112172          16.263619          172.11198    
   1.2175182          16.501303          172.15994    
   1.2238193          16.742460          172.20716    
   1.2301203          16.987141          172.25366    
   1.2364213          17.235398          172.29944    
   1.2427224          17.487284          172.34451    
   1.2490234          17.742850          172.38888    
   1.2553244          18.002152          172.43255    
   1.2616254          18.265243          172.47555    
   1.2679265          18.532178          172.51787    
   1.2742275          18.803015          172.55952    
   1.2805285          19.077811          172.60051    
   1.2868296          19.356622          172.64085    
   1.2931306          19.639508          172.68056    
   1.2994316          19.926528          172.71962    
   1.3057327          20.217742          172.75806    
   1.3120337          20.513213          172.79588    
   1.3183347          20.813001          172.83309    
   1.3246357          21.117171          172.86970    
   1.3309368          21.425787          172.90571    
   1.3372378          21.738912          172.94113    
   1.3435388          22.056614          172.97598    
   1.3498399          22.378958          173.01024    
   1.3561409          22.706014          173.04394    
   1.3624419          23.037849          173.07708    
   1.3687430          23.374534          173.10967    
   1.3750440          23.716139          173.14171    
   1.3813450          24.062736          173.17321    
   1.3876460          24.414399          173.20417    
