   LOG10(FN) FN  Calc. Arg.: Z11, Z12 ... Z21, Z22 ... [deg]
   4.3239260          21082.690          83.602908    
   4.3302271          21390.801          83.594994    
   4.3365281          21703.415          83.587046    
   4.3428291          22020.598          83.579063    
   4.3491301          22342.416          83.571047    
   4.3554312          22668.938          83.562997    
   4.3617322          23000.231          83.554913    
   4.3680332          23336.366          83.546794    
   4.3743343          23677.414          83.538640    
   4.3806353          24023.445          83.530452    
   4.3869363          24374.534          83.522230    
   4.3932374          24730.754          83.513972    
   4.3995384          25092.179          83.505679    
   4.4058394          25458.887          83.497352    
   4.4121404          25830.954          83.488989    
   4.4184415          26208.458          83.480591    
   4.4247425          26591.479          83.472157    
   4.4310435          26980.099          83.463688    
   4.4373446          27374.397          83.455184    
   4.4436456          27774.458          83.446643    
   4.4499466          28180.365          83.438067    
   4.4562477          28592.205          83.429454    
   4.4625487          29010.064          83.420806    
   4.4688497          29434.029          83.412121    
   4.4751507          29864.190          83.403399    
   4.4814518          30300.638          83.394642    
   4.4877528          30743.464          83.385847    
   4.4940538          31192.762          83.377016    
   4.5003549          31648.626          83.368148    
   4.5066559          32111.152          83.359243    
   4.5129569          32580.438          83.350301    
   4.5192580          33056.582          83.341321    
   4.5255590          33539.685          83.332305    
   4.5318600          34029.848          83.323250    
   4.5381610          34527.175          83.314159    
   4.5444621          35031.769          83.305029    
   4.5507631          35543.738          83.295861    
   4.5570641          36063.189          83.286656    
   4.5633652          36590.232          83.277412    
   4.5696662          37124.977          83.268131    
   4.5759672          37667.537          83.258811    
   4.5822683          38218.026          83.249452    
   4.5885693          38776.560          83.240055    
   4.5948703          39343.257          83.230619    
   4.6011713          39918.236          83.221144    
   4.6074724          40501.618          83.211630    
   4.6137734          41093.525          83.202077    
   4.6200744          41694.083          83.192485    
   4.6263755          42303.418          83.182854    
   4.6326765          42921.658          83.173183    
   4.6389775          43548.933          83.163473    
   4.6452786          44185.376          83.153722    
   4.6515796          44831.119          83.143932    
   4.6578806          45486.300          83.134102    
   4.6641816          46151.056          83.124232    
   4.6704827          46825.527          83.114322    
   4.6767837          47509.855          83.104371    
   4.6830847          48204.183          83.094380    
   4.6893858          48908.660          83.084348    
   4.6956868          49623.431          83.074276    
   4.7019878          50348.649          83.064163    
   4.7082889          51084.465          83.054008    
   4.7145899          51831.035          83.043813    
   4.7208909          52588.515          83.033576    
   4.7271919          53357.066          83.023299    
   4.7334930          54136.849          83.012979    
   4.7397940          54928.027          83.002618    
   4.7460950          55730.768          82.992216    
   4.7523961          56545.241          82.981771    
   4.7586971          57371.617          82.971285    
   4.7649981          58210.070          82.960757    
   4.7712992          59060.776          82.950186    
   4.7776002          59923.915          82.939573    
   4.7839012          60799.668          82.928918    
   4.7902022          61688.220          82.918220    
   4.7965033          62589.758          82.907480    
   4.8028043          63504.471          82.896696    
   4.8091053          64432.552          82.885870    
   4.8154064          65374.196          82.875001    
   4.8217074          66329.602          82.864089    
   4.8280084          67298.971          82.853133    
   4.8343095          68282.506          82.842134    
   4.8406105          69280.415          82.831092    
   4.8469115          70292.908          82.820006    
   4.8532125          71320.198          82.808877    
   4.8595136          72362.501          82.797703    
   4.8658146          73420.037          82.786486    
   4.8721156          74493.028          82.775225    
   4.8784167          75581.701          82.763919    
   4.8847177          76686.283          82.752570    
   4.8910187          77807.009          82.741176    
   4.8973198          78944.113          82.729737    
   4.9036208          80097.836          82.718254    
   4.9099218          81268.419          82.706726    
   4.9162228          82456.110          82.695154    
   4.9225239          83661.158          82.683537    
   4.9288249          84883.817          82.671874    
   4.9351259          86124.345          82.660167    
   4.9414270          87383.002          82.648414    
   4.9477280          88660.054          82.636617    
   4.9540290          89955.769          82.624774    
   4.9603301          91270.420          82.612885    
   4.9666311          92604.285          82.600951    
   4.9729321          93957.642          82.588971    
   4.9792331          95330.779          82.576946    
   4.9855342          96723.983          82.564875    
   4.9918352          98137.548          82.552757    
   4.9981362          99571.771          82.540594    
   5.0044373          101026.95          82.528385    
   5.0107383          102503.40          82.516130    
   5.0170393          104001.43          82.503828    
   5.0233404          105521.35          82.491480    
   5.0296414          107063.49          82.479086    
   5.0359424          108628.16          82.466645    
   5.0422434          110215.69          82.454158    
   5.0485445          111826.43          82.441624    
   5.0548455          113460.71          82.429044    
   5.0611465          115118.87          82.416417    
   5.0674476          116801.27          82.403743    
   5.0737486          118508.25          82.391022    
   5.0800496          120240.18          82.378254    
   5.0863507          121997.42          82.365439    
   5.0926517          123780.34          82.352577    
   5.0989527          125589.32          82.339668    
   5.1052537          127424.74          82.326712    
   5.1115548          129286.97          82.313709    
   5.1178558          131176.43          82.300659    
   5.1241568          133093.50          82.287561    
   5.1304579          135038.58          82.274416    
   5.1367589          137012.09          82.261223    
   5.1430599          139014.44          82.247984    
   5.1493610          141046.06          82.234696    
   5.1556620          143107.36          82.221362    
   5.1619630          145198.79          82.207979    
   5.1682640          147320.79          82.194550    
   5.1745651          149473.80          82.181072    
   5.1808661          151658.27          82.167548    
   5.1871671          153874.67          82.153975    
   5.1934682          156123.46          82.140355    
   5.1997692          158405.11          82.126688    
   5.2060702          160720.11          82.112972    
   5.2123713          163068.94          82.099210    
   5.2186723          165452.10          82.085399    
   5.2249733          167870.09          82.071541    
   5.2312743          170323.41          82.057636    
   5.2375754          172812.59          82.043683    
   5.2438764          175338.14          82.029682    
   5.2501774          177900.61          82.015634    
   5.2564785          180500.52          82.001538    
   5.2627795          183138.43          81.987394    
   5.2690805          185814.89          81.973204    
   5.2753816          188530.47          81.958965    
   5.2816826          191285.73          81.944680    
   5.2879836          194081.26          81.930347    
   5.2942846          196917.65          81.915966    
   5.3005857          199795.49          81.901539    
   5.3068867          202715.38          81.887064    
   5.3131877          205677.95          81.872542    
   5.3194888          208683.81          81.857973    
   5.3257898          211733.60          81.843357    
   5.3320908          214827.97          81.828694    
   5.3383919          217967.55          81.813984    
   5.3446929          221153.02          81.799227    
   5.3509939          224385.05          81.784424    
   5.3572949          227664.30          81.769574    
   5.3635960          230991.48          81.754677    
   5.3698970          234367.29          81.739734    
   5.3761980          237792.43          81.724745    
   5.3824991          241267.63          81.709709    
   5.3888001          244793.62          81.694628    
   5.3951011          248371.13          81.679500    
   5.4014022          252000.93          81.664326    
   5.4077032          255683.78          81.649107    
   5.4140042          259420.45          81.633842    
   5.4203052          263211.73          81.618532    
   5.4266063          267058.42          81.603177    
   5.4329073          270961.32          81.587776    
   5.4392083          274921.26          81.572330    
   5.4455094          278939.08          81.556840    
   5.4518104          283015.61          81.541305    
   5.4581114          287151.72          81.525725    
   5.4644125          291348.27          81.510101    
   5.4707135          295606.16          81.494434    
   5.4770145          299926.27          81.478722    
   5.4833155          304309.52          81.462966    
   5.4896166          308756.83          81.447167    
   5.4959176          313269.13          81.431325    
   5.5022186          317847.38          81.415440    
   5.5085197          322492.53          81.399512    
   5.5148207          327205.57          81.383541    
   5.5211217          331987.49          81.367528    
   5.5274228          336839.30          81.351473    
   5.5337238          341762.01          81.335376    
   5.5400248          346756.66          81.319238    
   5.5463258          351824.31          81.303058    
   5.5526269          356966.01          81.286838    
   5.5589279          362182.87          81.270576    
   5.5652289          367475.96          81.254274    
   5.5715300          372846.41          81.237933    
   5.5778310          378295.34          81.221551    
   5.5841320          383823.91          81.205130    
   5.5904331          389433.27          81.188669    
   5.5967341          395124.61          81.172170    
   5.6030351          400899.13          81.155632    
   5.6093361          406758.03          81.139056    
   5.6156372          412702.57          81.122443    
   5.6219382          418733.98          81.105792    
   5.6282392          424853.53          81.089104    
   5.6345403          431062.52          81.072379    
   5.6408413          437362.25          81.055618    
   5.6471423          443754.04          81.038821    
   5.6534434          450239.25          81.021989    
   5.6597444          456819.23          81.005121    
   5.6660454          463495.38          80.988219    
   5.6723464          470269.10          80.971283    
   5.6786475          477141.81          80.954313    
   5.6849485          484114.96          80.937310    
   5.6912495          491190.02          80.920274    
   5.6975506          498368.47          80.903205    
   5.7038516          505651.84          80.886105    
   5.7101526          513041.65          80.868974    
   5.7164537          520539.45          80.851811    
   5.7227547          528146.83          80.834618    
   5.7290557          535865.39          80.817396    
   5.7353567          543696.75          80.800144    
   5.7416578          551642.57          80.782863    
   5.7479588          559704.50          80.765554    
   5.7542598          567884.26          80.748218    
   5.7605609          576183.56          80.730854    
   5.7668619          584604.14          80.713464    
   5.7731629          593147.79          80.696048    
   5.7794640          601816.31          80.678606    
   5.7857650          610611.50          80.661140    
   5.7920660          619535.23          80.643650    
   5.7983670          628589.38          80.626137    
   5.8046681          637775.85          80.608600    
   5.8109691          647096.57          80.591042    
   5.8172701          656553.51          80.573462    
   5.8235712          666148.66          80.555861    
   5.8298722          675884.04          80.538240    
   5.8361732          685761.69          80.520600    
   5.8424743          695783.70          80.502941    
   5.8487753          705952.17          80.485264    
   5.8550763          716269.26          80.467569    
   5.8613773          726737.11          80.449859    
   5.8676784          737357.96          80.432132    
   5.8739794          748134.01          80.414391    
   5.8802804          759067.56          80.396635    
   5.8865815          770160.89          80.378866    
   5.8928825          781416.34          80.361084    
   5.8991835          792836.29          80.343290    
   5.9054846          804423.13          80.325486    
   5.9117856          816179.31          80.307671    
   5.9180866          828107.29          80.289847    
   5.9243876          840209.60          80.272014    
   5.9306887          852488.78          80.254174    
   5.9369897          864947.40          80.236327    
   5.9432907          877588.11          80.218475    
   5.9495918          890413.55          80.200617    
   5.9558928          903426.43          80.182755    
   5.9621938          916629.48          80.164891    
   5.9684949          930025.49          80.147024    
   5.9747959          943617.27          80.129156    
   5.9810969          957407.69          80.111288    
   5.9873979          971399.64          80.093420    
   5.9936990          985596.09          80.075554    
   6.0000000          1000000.0          80.057691    
