   LOG10(FN) FN  Calc. Mag.: Z11, Z12 ... Z21, Z22 ... [ohms]
  0.55591008          3.5967486         0.58103597E-04
  0.56221111          3.6493130         0.58846001E-04
  0.56851214          3.7026456         0.59599507E-04
  0.57481317          3.7567576         0.60364260E-04
  0.58111420          3.8116604         0.61140412E-04
  0.58741523          3.8673656         0.61928113E-04
  0.59371626          3.9238849         0.62727517E-04
  0.60001729          3.9812302         0.63538779E-04
  0.60631832          4.0394136         0.64362059E-04
  0.61261935          4.0984473         0.65197515E-04
  0.61892038          4.1583437         0.66045311E-04
  0.62522141          4.2191155         0.66905612E-04
  0.63152244          4.2807754         0.67778584E-04
  0.63782347          4.3433365         0.68664397E-04
  0.64412450          4.4068118         0.69563223E-04
  0.65042553          4.4712148         0.70475236E-04
  0.65672656          4.5365590         0.71400614E-04
  0.66302759          4.6028582         0.72339535E-04
  0.66932862          4.6701263         0.73292182E-04
  0.67562965          4.7383775         0.74258738E-04
  0.68193068          4.8076261         0.75239391E-04
  0.68823171          4.8778868         0.76234330E-04
  0.69453274          4.9491742         0.77243748E-04
  0.70083377          5.0215035         0.78267840E-04
  0.70713480          5.0948899         0.79306804E-04
  0.71343583          5.1693488         0.80360840E-04
  0.71973686          5.2448958         0.81430152E-04
  0.72603789          5.3215469         0.82514946E-04
  0.73233892          5.3993182         0.83615431E-04
  0.73863995          5.4782261         0.84731821E-04
  0.74494098          5.5582872         0.85864329E-04
  0.75124201          5.6395183         0.87013175E-04
  0.75754304          5.7219366         0.88178579E-04
  0.76384407          5.8055594         0.89360766E-04
  0.77014510          5.8904043         0.90559965E-04
  0.77644613          5.9764891         0.91776405E-04
  0.78274716          6.0638320         0.93010320E-04
  0.78904819          6.1524514         0.94261950E-04
  0.79534922          6.2423659         0.95531533E-04
  0.80165025          6.3335945         0.96819315E-04
  0.80795128          6.4261563         0.98125543E-04
  0.81425231          6.5200708         0.99450468E-04
  0.82055334          6.6153579         0.10079434E-03
  0.82685437          6.7120375         0.10215743E-03
  0.83315540          6.8101300         0.10353999E-03
  0.83945643          6.9096561         0.10494229E-03
  0.84575746          7.0106367         0.10636459E-03
  0.85205849          7.1130931         0.10780718E-03
  0.85835952          7.2170468         0.10927032E-03
  0.86466055          7.3225198         0.11075430E-03
  0.87096158          7.4295342         0.11225940E-03
  0.87726261          7.5381125         0.11378591E-03
  0.88356364          7.6482776         0.11533413E-03
  0.88986467          7.7600528         0.11690435E-03
  0.89616570          7.8734614         0.11849688E-03
  0.90246673          7.9885275         0.12011201E-03
  0.90876776          8.1052752         0.12175006E-03
  0.91506879          8.2237291         0.12341134E-03
  0.92136982          8.3439141         0.12509618E-03
  0.92767085          8.4658555         0.12680488E-03
  0.93397188          8.5895791         0.12853779E-03
  0.94027291          8.7151108         0.13029523E-03
  0.94657394          8.8424771         0.13207754E-03
  0.95287497          8.9717048         0.13388506E-03
  0.95917600          9.1028210         0.13571814E-03
  0.96547703          9.2358535         0.13757712E-03
  0.97177806          9.3708301         0.13946237E-03
  0.97807909          9.5077793         0.14137425E-03
