   LOG10(FN)  FN  Calculated  |Hphase| H11, H12 ... H21, H22 ...
  0.42358845          2.6520912         0.99275193         0.99276952    
  0.42988948          2.6908500         0.99273085         0.99275213    
  0.43619051          2.7301752         0.99270959         0.99273452    
  0.44249154          2.7700751         0.99268816         0.99271670    
  0.44879257          2.8105581         0.99266655         0.99269865    
  0.45509360          2.8516328         0.99264475         0.99268036    
  0.46139463          2.8933078         0.99262275         0.99266182    
  0.46769566          2.9355918         0.99260056         0.99264303    
  0.47399669          2.9784938         0.99257817         0.99262397    
  0.48029772          3.0220227         0.99255557         0.99260463    
  0.48659875          3.0661878         0.99253276         0.99258500    
  0.49289978          3.1109984         0.99250973         0.99256507    
  0.49920081          3.1564638         0.99248647         0.99254483    
  0.50550184          3.2025937         0.99246299         0.99252427    
  0.51180287          3.2493977         0.99243927         0.99250338    
  0.51810390          3.2968858         0.99241531         0.99248215    
  0.52440493          3.3450679         0.99239111         0.99246057    
  0.53070596          3.3939541         0.99236666         0.99243863    
  0.53700699          3.4435548         0.99234195         0.99241632    
  0.54330802          3.4938803         0.99231697         0.99239363    
  0.54960905          3.5449413         0.99229173         0.99237055    
  0.55591008          3.5967486         0.99226622         0.99234706    
  0.56221111          3.6493130         0.99224042         0.99232316    
  0.56851214          3.7026456         0.99221434         0.99229884    
  0.57481317          3.7567576         0.99218797         0.99227409    
  0.58111420          3.8116604         0.99216130         0.99224890    
  0.58741523          3.8673656         0.99213432         0.99222326    
  0.59371626          3.9238849         0.99210704         0.99219715    
  0.60001729          3.9812302         0.99207944         0.99217057    
  0.60631832          4.0394136         0.99205152         0.99214351    
  0.61261935          4.0984473         0.99202326         0.99211597    
  0.61892038          4.1583437         0.99199468         0.99208792    
  0.62522141          4.2191155         0.99196575         0.99205936    
  0.63152244          4.2807754         0.99193647         0.99203028    
  0.63782347          4.3433365         0.99190684         0.99200068    
  0.64412450          4.4068118         0.99187684         0.99197054    
  0.65042553          4.4712148         0.99184648         0.99193986    
  0.65672656          4.5365590         0.99181574         0.99190862    
  0.66302759          4.6028582         0.99178461         0.99187683    
  0.66932862          4.6701263         0.99175310         0.99184446    
  0.67562965          4.7383775         0.99172119         0.99181151    
  0.68193068          4.8076261         0.99168888         0.99177798    
  0.68823171          4.8778868         0.99165616         0.99174385    
  0.69453274          4.9491742         0.99162301         0.99170913    
  0.70083377          5.0215035         0.99158944         0.99167379    
  0.70713480          5.0948899         0.99155544         0.99163785    
  0.71343583          5.1693488         0.99152099         0.99160128    
  0.71973686          5.2448958         0.99148610         0.99156408    
  0.72603789          5.3215469         0.99145074         0.99152625    
  0.73233892          5.3993182         0.99141492         0.99148777    
  0.73863995          5.4782261         0.99137863         0.99144866    
  0.74494098          5.5582872         0.99134186         0.99140889    
  0.75124201          5.6395183         0.99130459         0.99136846    
  0.75754304          5.7219366         0.99126683         0.99132737    
  0.76384407          5.8055594         0.99122856         0.99128562    
  0.77014510          5.8904043         0.99118977         0.99124320    
  0.77644613          5.9764891         0.99115046         0.99120010    
  0.78274716          6.0638320         0.99111062         0.99115632    
  0.78904819          6.1524514         0.99107023         0.99111186    
  0.79534922          6.2423659         0.99102930         0.99106672    
  0.80165025          6.3335945         0.99098780         0.99102089    
  0.80795128          6.4261563         0.99094573         0.99097436    
  0.81425231          6.5200708         0.99090308         0.99092715    
  0.82055334          6.6153579         0.99085984         0.99087923    
  0.82685437          6.7120375         0.99081600         0.99083062    
  0.83315540          6.8101300         0.99077155         0.99078131    
  0.83945643          6.9096561         0.99072648         0.99073130    
  0.84575746          7.0106367         0.99068078         0.99068058    
  0.85205849          7.1130931         0.99063445         0.99062915    
  0.85835952          7.2170468         0.99058746         0.99057703    
  0.86466055          7.3225198         0.99053981         0.99052419    
  0.87096158          7.4295342         0.99049148         0.99047064    
  0.87726261          7.5381125         0.99044248         0.99041639    
  0.88356364          7.6482776         0.99039278         0.99036142    
  0.88986467          7.7600528         0.99034237         0.99030575    
  0.89616570          7.8734614         0.99029124         0.99024936    
  0.90246673          7.9885275         0.99023939         0.99019226    
  0.90876776          8.1052752         0.99018679         0.99013444    
  0.91506879          8.2237291         0.99013345         0.99007592    
  0.92136982          8.3439141         0.99007933         0.99001667    
  0.92767085          8.4658555         0.99002444         0.98995671    
  0.93397188          8.5895791         0.98996876         0.98989603    
  0.94027291          8.7151108         0.98991227         0.98983463    
  0.94657394          8.8424771         0.98985497         0.98977252    
  0.95287497          8.9717048         0.98979684         0.98970967    
  0.95917600          9.1028210         0.98973786         0.98964611    
  0.96547703          9.2358535         0.98967803         0.98958181    
  0.97177806          9.3708301         0.98961733         0.98951678    
  0.97807909          9.5077793         0.98955574         0.98945102    
  0.98438012          9.6467300         0.98949325         0.98938452    
  0.99068115          9.7877114         0.98942985         0.98931728    
  0.99698218          9.9307531         0.98936553         0.98924930    
   1.0032832          10.075885         0.98930026         0.98918056    
   1.0095842          10.223138         0.98923403         0.98911106    
   1.0158853          10.372544         0.98916683         0.98904080    
   1.0221863          10.524132         0.98909864         0.98896977    
   1.0284873          10.677936         0.98902944         0.98889795    
   1.0347884          10.833988         0.98895922         0.98882535    
   1.0410894          10.992321         0.98888797         0.98875196    
   1.0473904          11.152967         0.98881566         0.98867776    
   1.0536915          11.315961         0.98874227         0.98860274    
   1.0599925          11.481337         0.98866780         0.98852689    
   1.0662935          11.649131         0.98859223         0.98845020    
   1.0725945          11.819376         0.98851553         0.98837265    
   1.0788956          11.992109         0.98843768         0.98829424    
   1.0851966          12.167367         0.98835868         0.98821494    
   1.0914976          12.345186         0.98827850         0.98813474    
   1.0977987          12.525604         0.98819712         0.98805363    
   1.1040997          12.708658         0.98811452         0.98797158    
   1.1104007          12.894388         0.98803069         0.98788858    
   1.1167018          13.082832         0.98794560         0.98780461    
   1.1230028          13.274030         0.98785923         0.98771964    
   1.1293038          13.468022         0.98777157         0.98763365    
   1.1356048          13.664849         0.98768258         0.98754662    
   1.1419059          13.864553         0.98759226         0.98745853    
   1.1482069          14.067175         0.98750058         0.98736935    
   1.1545079          14.272759         0.98740751         0.98727906    
   1.1608090          14.481347         0.98731304         0.98718762    
   1.1671100          14.692984         0.98721714         0.98709501    
   1.1734110          14.907713         0.98711979         0.98700120    
   1.1797121          15.125581         0.98702097         0.98690616    
   1.1860131          15.346632         0.98692064         0.98680985    
   1.1923141          15.570914         0.98681880         0.98671225    
   1.1986151          15.798474         0.98671541         0.98661332    
   1.2049162          16.029360         0.98661045         0.98651303    
   1.2112172          16.263619         0.98650389         0.98641134    
   1.2175182          16.501303         0.98639571         0.98630821    
   1.2238193          16.742460         0.98628589         0.98620361    
   1.2301203          16.987141         0.98617438         0.98609749    
   1.2364213          17.235398         0.98606118         0.98598983    
   1.2427224          17.487284         0.98594625         0.98588057    
   1.2490234          17.742850         0.98582956         0.98576967    
   1.2553244          18.002152         0.98571108         0.98565710    
   1.2616254          18.265243         0.98559079         0.98554281    
   1.2679265          18.532178         0.98546866         0.98542676    
   1.2742275          18.803015         0.98534465         0.98530890    
   1.2805285          19.077811         0.98521874         0.98518918    
   1.2868296          19.356622         0.98509090         0.98506757    
   1.2931306          19.639508         0.98496109         0.98494401    
   1.2994316          19.926528         0.98482929         0.98481845    
   1.3057327          20.217742         0.98469545         0.98469085    
   1.3120337          20.513213         0.98455956         0.98456116    
   1.3183347          20.813001         0.98442157         0.98442933    
   1.3246357          21.117171         0.98428145         0.98429531    
   1.3309368          21.425787         0.98413917         0.98415905    
   1.3372378          21.738912         0.98399470         0.98402049    
   1.3435388          22.056614         0.98384799         0.98387960    
   1.3498399          22.378958         0.98369901         0.98373631    
   1.3561409          22.706014         0.98354773         0.98359057    
   1.3624419          23.037849         0.98339410         0.98344234    
   1.3687430          23.374534         0.98323810         0.98329155    
   1.3750440          23.716139         0.98307968         0.98313816    
   1.3813450          24.062736         0.98291880         0.98298212    
   1.3876460          24.414399         0.98275542         0.98282337    
   1.3939471          24.771202         0.98258951         0.98266186    
   1.4002481          25.133218         0.98242103         0.98249754    
   1.4065491          25.500526         0.98224992         0.98233035    
   1.4128502          25.873201         0.98207616         0.98216024    
   1.4191512          26.251323         0.98189969         0.98198716    
   1.4254522          26.634971         0.98172048         0.98181106    
   1.4317533          27.024225         0.98153848         0.98163188    
   1.4380543          27.419169         0.98135364         0.98144958    
   1.4443553          27.819884         0.98116593         0.98126409    
   1.4506563          28.226455         0.98097530         0.98107538    
   1.4569574          28.638969         0.98078169         0.98088339    
   1.4632584          29.057510         0.98058507         0.98068806    
   1.4695594          29.482169         0.98038538         0.98048935    
   1.4758605          29.913034         0.98018257         0.98028721    
   1.4821615          30.350196         0.97997661         0.98008159    
   1.4884625          30.793746         0.97976743         0.97987245    
   1.4947636          31.243779         0.97955498         0.97965972    
   1.5010646          31.700388         0.97933923         0.97944336    
   1.5073656          32.163671         0.97912010         0.97922334    
   1.5136666          32.633725         0.97889756         0.97899959    
   1.5199677          33.110647         0.97867154         0.97877207    
   1.5262687          33.594540         0.97844200         0.97854074    
   1.5325697          34.085505         0.97820888         0.97830555    
   1.5388708          34.583645         0.97797212         0.97806646    
   1.5451718          35.089065         0.97773167         0.97782342    
   1.5514728          35.601871         0.97748746         0.97757639    
   1.5577739          36.122172         0.97723945         0.97732532    
   1.5640749          36.650076         0.97698757         0.97707017    
   1.5703759          37.185696         0.97673177         0.97681090    
   1.5766769          37.729143         0.97647198         0.97654747    
   1.5829780          38.280533         0.97620815         0.97627982    
   1.5892790          38.839980         0.97594021         0.97600792    
   1.5955800          39.407604         0.97566810         0.97573174    
   1.6018811          39.983523         0.97539176         0.97545121    
   1.6081821          40.567859         0.97511112         0.97516631    
   1.6144831          41.160735         0.97482613         0.97487700    
   1.6207842          41.762275         0.97453671         0.97458322    
   1.6270852          42.372607         0.97424280         0.97428493    
   1.6333862          42.991858         0.97394433         0.97398211    
   1.6396872          43.620159         0.97364124         0.97367469    
   1.6459883          44.257642         0.97333346         0.97336264    
   1.6522893          44.904442         0.97302093         0.97304591    
   1.6585903          45.560694         0.97270356         0.97272446    
   1.6648914          46.226537         0.97238130         0.97239825    
   1.6711924          46.902111         0.97205407         0.97206722    
   1.6774934          47.587558         0.97172180         0.97173134    
   1.6837945          48.283023         0.97138442         0.97139054    
   1.6900955          48.988651         0.97104186         0.97104479    
   1.6963965          49.704592         0.97069404         0.97069403    
   1.7026975          50.430996         0.97034089         0.97033821    
   1.7089986          51.168015         0.96998235         0.96997727    
   1.7152996          51.915806         0.96961832         0.96961117    
   1.7216006          52.674526         0.96924874         0.96923985    
   1.7279017          53.444333         0.96887353         0.96886324    
   1.7342027          54.225391         0.96849262         0.96848129    
   1.7405037          55.017864         0.96810593         0.96809393    
   1.7468048          55.821918         0.96771338         0.96770110    
   1.7531058          56.637723         0.96731489         0.96730274    
   1.7594068          57.465450         0.96691039         0.96689878    
   1.7657078          58.305274         0.96649979         0.96648914    
   1.7720089          59.157372         0.96608301         0.96607375    
   1.7783099          60.021923         0.96565999         0.96565254    
   1.7846109          60.899108         0.96523063         0.96522543    
   1.7909120          61.789113         0.96479485         0.96479234    
   1.7972130          62.692125         0.96435258         0.96435318    
   1.8035140          63.608334         0.96390372         0.96390788    
   1.8098151          64.537933         0.96344821         0.96345634    
   1.8161161          65.481118         0.96298596         0.96299847    
   1.8224171          66.438086         0.96251687         0.96253418    
   1.8287181          67.409040         0.96204088         0.96206337    
   1.8350192          68.394184         0.96155789         0.96158595    
   1.8413202          69.393725         0.96106782         0.96110181    
   1.8476212          70.407874         0.96057059         0.96061084    
   1.8539223          71.436845         0.96006611         0.96011296    
   1.8602233          72.480853         0.95955429         0.95960803    
   1.8665243          73.540118         0.95903505         0.95909596    
   1.8728254          74.614864         0.95850830         0.95857663    
   1.8791264          75.705317         0.95797396         0.95804992    
   1.8854274          76.811706         0.95743193         0.95751572    
   1.8917284          77.934265         0.95688213         0.95697390    
   1.8980295          79.073229         0.95632447         0.95642435    
   1.9043305          80.228838         0.95575885         0.95586693    
   1.9106315          81.401336         0.95518520         0.95530153    
   1.9169326          82.590969         0.95460342         0.95472800    
   1.9232336          83.797988         0.95401341         0.95414624    
   1.9295346          85.022647         0.95341510         0.95355610    
   1.9358357          86.265204         0.95280837         0.95295745    
   1.9421367          87.525920         0.95219315         0.95235015    
   1.9484377          88.805060         0.95156933         0.95173409    
   1.9547387          90.102895         0.95093683         0.95110911    
   1.9610398          91.419696         0.95029554         0.95047508    
   1.9673408          92.755742         0.94964538         0.94983187    
   1.9736418          94.111313         0.94898624         0.94917934    
   1.9799429          95.486695         0.94831803         0.94851735    
   1.9862439          96.882178         0.94764064         0.94784576    
   1.9925449          98.298055         0.94695398         0.94716445    
   1.9988460          99.734624         0.94625795         0.94647326    
   2.0051470          101.19219         0.94555244         0.94577207    
   2.0114480          102.67105         0.94483735         0.94506074    
   2.0177490          104.17153         0.94411258         0.94433913    
   2.0240501          105.69394         0.94337802         0.94360711    
   2.0303511          107.23859         0.94263357         0.94286454    
   2.0366521          108.80582         0.94187911         0.94211130    
   2.0429532          110.39596         0.94111453         0.94134725    
   2.0492542          112.00933         0.94033973         0.94057226    
   2.0555552          113.64628         0.93955459         0.93978620    
   2.0618563          115.30715         0.93875900         0.93898895    
   2.0681573          116.99230         0.93795284         0.93818037    
   2.0744583          118.70208         0.93713599         0.93736036    
   2.0807593          120.43684         0.93630833         0.93652877    
   2.0870604          122.19695         0.93546975         0.93568550    
   2.0933614          123.98279         0.93462011         0.93483043    
   2.0996624          125.79473         0.93375930         0.93396343    
   2.1059635          127.63314         0.93288718         0.93308439    
   2.1122645          129.49843         0.93200362         0.93219320    
   2.1185655          131.39097         0.93110850         0.93128974    
   2.1248666          133.31117         0.93020168         0.93037391    
   2.1311676          135.25944         0.92928303         0.92944560    
   2.1374686          137.23618         0.92835240         0.92850469    
   2.1437696          139.24180         0.92740966         0.92755108    
   2.1500707          141.27674         0.92645466         0.92658467    
   2.1563717          143.34142         0.92548726         0.92560535    
   2.1626727          145.43627         0.92450731         0.92461301    
   2.1689738          147.56174         0.92351466         0.92360756    
   2.1752748          149.71827         0.92250916         0.92258890    
   2.1815758          151.90631         0.92149066         0.92155691    
   2.1878769          154.12634         0.92045899         0.92051149    
   2.1941779          156.37880         0.91941400         0.91945255    
   2.2004789          158.66419         0.91835553         0.91837999    
   2.2067799          160.98297         0.91728341         0.91729368    
   2.2130810          163.33565         0.91619747         0.91619354    
   2.2193820          165.72270         0.91509754         0.91507946    
   2.2256830          168.14464         0.91398346         0.91395132    
   2.2319841          170.60198         0.91285504         0.91280902    
   2.2382851          173.09523         0.91171211         0.91165244    
   2.2445861          175.62491         0.91055449         0.91048147    
   2.2508872          178.19157         0.90938200         0.90929599    
   2.2571882          180.79574         0.90819445         0.90809588    
   2.2634892          183.43796         0.90699166         0.90688102    
   2.2697902          186.11880         0.90577343         0.90565127    
   2.2760913          188.83882         0.90453957         0.90440651    
   2.2823923          191.59859         0.90328990         0.90314659    
   2.2886933          194.39869         0.90202420         0.90187138    
   2.2949944          197.23971         0.90074229         0.90058072    
   2.3012954          200.12226         0.89944396         0.89927447    
   2.3075964          203.04693         0.89812901         0.89795247    
   2.3138975          206.01434         0.89679723         0.89661455    
   2.3201985          209.02512         0.89544842         0.89526054    
   2.3264995          212.07990         0.89408236         0.89389026    
   2.3328005          215.17933         0.89269884         0.89250354    
   2.3391016          218.32405         0.89129765         0.89110019    
   2.3454026          221.51473         0.88987857         0.88968000    
   2.3517036          224.75203         0.88844139         0.88824277    
